validation_id,model_id,runtime_secs,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_fold_11_test,MeanSquaredError_mean,MeanSquaredError_std
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,23.97963237762451,1.5107064960764962,2.4194076630287826,3.484167292903847,4.5560938228638985,6.368500330918296e+17,2.843400025538536,1.9143931306994724,215400222957.65582,1.7064549424056126,1256604779561.0183,3.365235076827528,257032336154960.03,5.309237811941559e+16,1.8383599987335843e+17
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_GARCH,9.279334783554077,1.5018344306004658,2.3919886027921335,3.4971600853232205,8338535.056577465,3.5600859478832696,125965270404493.31,7127734.84807632,319.75257928664206,3.3930738828636506e+84,164303.10905491514,9.802884199804874e+22,2.897759124777271,2.827561569053042e+83,9.794960598258087e+83
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_ged-mean_AR-vol_GARCH,15.702289819717407,1.514725026590993,2.543405019193002,3.190091039273243,4.66209277453506,3.627869559142073,2.962230209118741,2.1097198894756106,1.3037564018356018e+20,22904914.20205897,38457861063.982544,2572.680958060155,2.178044027711825e+26,1.8150377762235228e+25,6.287471186385189e+25
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_GARCH,17.150432586669922,1.534564173081975,2.518227019467646,3.432265554368911,4.601984898659326,3.4996889428075284,2.898295831545891,1064640.9017216978,6.466599543343897e+84,1.9011170921495628,16541903.466713274,299.56228203295694,158273630.9611443,5.388832952786581e+83,1.8667464935455548e+84
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_ged-mean_AR-vol_GARCH,22.581445693969727,1.5409551483257538,71911766.22211409,3.440299365812331,4.5834504063098365,210811.69993290055,2.9973801481950266,214065622.027275,1.4273524934160065,1.8106767683321432,3150206.6131823463,3035460.6855711397,3940532388127.0317,328402063500.84,1137526046421.2112
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_ged-mean_HAR-vol_GARCH,16.72648572921753,1.5139801236244868,2.4615101957337426,3.5835285661723413,4.560570187951232,3.53258559727327,3.1260373517546975,3.962756114808404e+53,2.803042895402367e+19,1047.723843480852,25916.443858290888,1.68313492400995e+58,1.7303419194474036e+39,1.4026454596425817e+57,4.858781609095778e+57
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,28.027766704559326,1.4575846049689936,2.3849338839344676,3.452327441911511,8258798.4699677015,3.5120315567292146,502349.39223572676,1.9677524806254454,242830870657922.56,6094432797453.93,6.710022910764566e+17,3.2524854766361955,3419413079385671.0,5.6222552455671576e+16,1.9360787952693226e+17
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_ged-mean_HAR-vol_GARCH,24.72228717803955,1.4568639889298116,2.4001010958969893,3.4826041028800154,4.530315212746701,3.474310358585045,31236116.62472162,9619365406302.184,36376730.79655811,1703667.769995436,1.6918462845342526,5.26302790587e+149,5296634353225949.0,4.3858565882250004e+148,1.5193052891032784e+149
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_ged-mean_AR-vol_GARCH,34.46377086639404,1.467866862305246,2.5462617905018874,3.588216187650074,4.7388874014591575,3.4436491718647555,1.187578049069671e+30,1.9599002491735942,20478.581733731124,3.1979346127234476,1.5479360892326985,75340989628045.45,2415065.378580868,9.896483742247259e+28,3.428242531570326e+29
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_ged-mean_HAR-vol_GARCH,36.43815565109253,1.4661879523327175,2.5049530110781175,3.427233789154799,4.800398153251356,3.5381663961360186,3.0037798533851996,11713553.434548957,8.580236739441943e+46,321746998432.3743,inf,2.110504921932546e+24,0.5026245439606114,inf,
p02,ARCH-p_15-q_12-o_24-lags_48-power_1-dist_ged-mean_AR-vol_GARCH,33.56349229812622,1.4941484941795637,2.3477086535193217,3.365194406616966,7.629576750590841,3.3317492901733337,4.378455540380177,43691044778.80066,405513592.4393042,4.286732449465116,0.6999529694537538,18584840921638.77,4.789334287424008e+54,3.991111906186673e+53,1.3825617200416778e+54
p02,ARCH-p_15-q_12-o_24-lags_48-power_1-dist_ged-mean_HAR-vol_GARCH,19.726049661636353,1.48358954213804,2.6465835882305995,2.90422865478713e+31,4.75325406925867,3.5453360021786904,8.5565647854694e+16,869.6938056777343,5.428709197331881e+28,1294268.921473887,49056576.00912773,3.5740512792661586e+37,1.9384866502967237e+55,1.6154055419139366e+54,5.595928946846547e+54
p02,ARCH-p_15-q_24-o_12-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,15.88235855102539,1.5034138576598086,3.037499191924648e+16,3.5224810149913863,4.562119655778739,3.5006713580694018,9715.41654516118,1.9314458401088679,4122017.1156390854,1686210.0300156258,5.176738646355254e+19,308103.4307400144,1236113.4765575682,4.316480121289929e+18,1.4943162669556337e+19
p02,ARCH-p_15-q_24-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_GARCH,22.23670482635498,1.5002339410865992,2.4396964393142824,3.5269410184442695,4.491354807333854,4.811896014877766e+82,2.793445110652047,5.201313065622324e+47,1.3489855751714348e+41,1.8358865619864781,4.662054486530255e+18,4.359214380080326e+17,inf,inf,
p02,ARCH-p_15-q_24-o_12-lags_36-power_1-dist_ged-mean_AR-vol_GARCH,30.563044786453247,1.4771538256881518,3.2513038335468876,3.3912797942224864,5.084971870761023,3.4991459789181243,2.7049959668986827,1.986715275511551e+50,0.8389374309583765,8.755152536736373,894.5266986113229,2.5701271769196925,3.393161812721645e+39,1.655596062954569e+49,5.735152995589773e+49
p02,ARCH-p_15-q_24-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_GARCH,32.8507034778595,1.471476960021508,2.5750760516591575,3.440466958366374,4.516285234112717,3.549056962142267,8.214411004461939e+19,3.247056795978473e+143,0.8440877014910048,1.8402947569090888,3.42702293898054,1933628677.4841294,0.5119270645121642,2.705880663315394e+142,9.373445576160874e+142
p02,ARCH-p_15-q_24-o_12-lags_48-power_1-dist_ged-mean_AR-vol_GARCH,33.95813846588135,1.5680803052779893,3.2906914009090222,3.292269100972975,4.994289628503349,3.0302089688209564,2.5374431179242762,24.497396003976842,0.9300157754043712,0.93724883061369,63.825594265844,1.4902381023863372e+19,1.2573119642193476e+20,1.1719464787149844e+19,3.615907336793479e+19
p02,ARCH-p_15-q_24-o_12-lags_48-power_1-dist_ged-mean_HAR-vol_GARCH,37.98621869087219,1.597697672150886,2.4878732969964723,2.7858161728397763,4.6480037112361,8.132793483310985,2.883546871440683,2.0269866010145217,0.8317388214126084,1.6780993769854073,288060.7571608921,3718.1442261878265,0.48553167251633145,24317.20495622999,83064.54612387005
p02,ARCH-p_15-q_24-o_24-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,34.36337423324585,1.5088629334679595,2.390993522324874,3.537639956042061,4.59157771708817,3.443721851635129,35557527.67948168,1.1704589963206492e+19,4206682500281.547,4.206755217951456e+63,1.681825210266084,3.0458918071767373e+22,1.8875889771307463e+19,3.5056293482928803e+62,1.2143856287495682e+63
p02,ARCH-p_15-q_24-o_24-lags_24-power_1-dist_ged-mean_HAR-vol_GARCH,36.2363657951355,1.5105101845179103,102570731675.88623,3.4886186087040625,4.680217828685576,983856.5212399431,1.485536156936318e+20,3.1351716085403107,2.0408301755741002e+29,101522147537900.11,2.1167734999677784e+16,3.4356610598500654,26970347034039.055,1.7006918142165414e+28,5.891369255800182e+28
p02,ARCH-p_15-q_24-o_24-lags_36-power_1-dist_ged-mean_AR-vol_GARCH,41.884856939315796,1.4793270411607977,2.4240245029944085,3.4197763286133167,1195116801.9517586,6.812060511609211,3.246872608948001,2.025680906053909,2932551136.943485,62258407280.90746,891583928260174.4,3.409235104056197,1.5274597121620079e+43,1.27288309346834e+42,4.409396379965217e+42
p02,ARCH-p_15-q_24-o_24-lags_36-power_1-dist_ged-mean_HAR-vol_GARCH,27.6177716255188,1.496956007120076,2.4993326317415665,3.4799877205083285,4.654601114399179,57662911073.76995,56956.982098584696,2.0421312150625184,2.963787114203857e+26,12611.385050957013,2180.345896993972,1.3019080991058713e+99,81794.37998061928,1.0849234159215595e+98,3.758284957394644e+98
p02,ARCH-p_15-q_24-o_24-lags_48-power_1-dist_ged-mean_AR-vol_GARCH,23.857729196548462,1.5054053047838376,2.5054626353393785,3.03151690091388,5.617834670580028,5.790348042925368,33074678826.498432,3319524332814.824,2.714871282219186e+21,187457.0614214436,1519807.0586055804,7378.653525525061,3.810543257327515e+21,5.437845452416085e+20,1.2913117507987112e+21
p02,ARCH-p_15-q_24-o_24-lags_48-power_1-dist_ged-mean_HAR-vol_GARCH,27.994725704193115,1.5007138797456565,2.5489670490196086,3.5767164143379677,4.895484138404033,3.5905943677440093,3.004949195950311,6.618703667687659e+51,6517501773472228.0,3.398935494952736e+19,4774117.138870382,1136539.9303812648,1.0239422012346555e+20,5.515586389739716e+50,1.910655172112917e+51
p02,ARCH-p_15-q_36-o_12-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,14.274062156677246,1.5098854908972046,2.429181714129151,3.4775042288656373,4.505503859323009,934300844026519.5,2.3780430335398346e+95,39357276284535.445,178238032.91049883,4942345872388675.0,3151.0918107933016,6.781014269108356e+32,3431950.8803463723,1.9817025279498622e+94,6.864818927793689e+94
p02,ARCH-p_15-q_36-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_GARCH,14.848066806793213,1.4958968425409258,2.4373331343588234,3.5303680487787905,4.48814203319732,23552.60041163916,inf,367099862906.39954,4812406876837.344,8805871341332.06,1006252602.638867,2.822823673692675e+24,9.23533577562418e+39,inf,
p02,ARCH-p_15-q_36-o_12-lags_36-power_1-dist_ged-mean_AR-vol_GARCH,27.98187279701233,1.49528955453972,2.578990682911271,3.4291498338648845,4.879024001393493,214693404411.54636,1657023548.2342665,5.952900287980402e+20,0.7478397641289898,91593718.10269982,1.0329568110751418e+61,1586646022.8488986,4.3279052538313376e+19,8.607973425626181e+59,2.9818894646774525e+60
p02,ARCH-p_15-q_36-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_GARCH,28.310868501663208,1.4703837551430057,2.500373279499995,3.4301271406746174,4.605145143359167,6.087439166531185e+30,4.493374028049027e+23,2.023140802443423,2.8204889610395886e+45,5.110819458109808e+87,3431109141326.267,4979116833.073109,2.1180111934106293e+24,4.2590162150915065e+86,1.4753664949596373e+87
p02,ARCH-p_15-q_36-o_12-lags_48-power_1-dist_ged-mean_AR-vol_GARCH,30.703328371047974,1.6301760964021486,2.3904557729994442,3.450086116213385,4.571328318889233,3.5407586066728127,2.475099658504618,495156478669.86523,1.654881792933406,5.240432268698644e+23,11032.277863232546,362986513.44068956,118087847247324.05,4.3670268915703974e+22,1.5127824904704617e+23
p02,ARCH-p_15-q_36-o_12-lags_48-power_1-dist_ged-mean_HAR-vol_GARCH,26.854619026184082,1.5872853098846185,2.502508593093606,3.582345891393537,4.654436031988945,3.5304272722079526,2.6946506939856574e+34,2.0125107808271236,790988518076666.8,2.820738663258922e+34,4.286107531418032e+46,7.017357286259198,8.301793821168825e+79,6.918161517640687e+78,2.3965214487042964e+79
p02,ARCH-p_15-q_36-o_24-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,21.608816862106323,1.5061769870742738,2.429608000661367,3.5208388567063023,3945617.0149809783,3.3800366350655584,2.3827577226085196e+21,3.603538703286478e+16,64.51193108249134,6.612702402770807e+30,19198258.574209455,1.9636918734316275e+21,16398259361198.93,5.5105853392644104e+29,1.9089227560412395e+30
p02,ARCH-p_15-q_36-o_24-lags_24-power_1-dist_ged-mean_HAR-vol_GARCH,28.497633695602417,1.5017143406779987,2.382157473382367,1.3414358134685494e+25,4.497034948540733,2830786859267887.5,2.793580700670369,1.9714301072534754,24636418.944527205,6.503774764612925e+31,6936.039287806542,3.1183992284865835e+19,6.727366026374484e+30,5.980427257241087e+30,1.8698517078743685e+31
p02,ARCH-p_15-q_36-o_24-lags_36-power_1-dist_ged-mean_AR-vol_GARCH,23.336170434951782,1.4773442425485128,2.536865382262842,3.5113690124154004,4.842538093686299,1953656899170.7917,4218443433039.456,1.3155890435283172e+16,836209626558120.1,117870765.37867689,20138440843817.95,1.8576834494257092e+26,3.1710676017157836e+23,1.5507120976396741e+25,5.361845758155921e+25
p02,ARCH-p_15-q_36-o_24-lags_36-power_1-dist_ged-mean_HAR-vol_GARCH,32.74621772766113,1.4864365320591357,2.5012795535152326,3.458165191686719,4.612515654406979,5.278405080745188e+28,3.4097717269397623e+19,2.017846329699965,349302.93307475955,2.4038138186072304e+16,2.088854600227534e+30,4.4793917808470694e+24,475947543254519.4,1.7847026087174077e+29,6.018063784628222e+29
p02,ARCH-p_15-q_36-o_24-lags_48-power_1-dist_ged-mean_AR-vol_GARCH,39.31461954116821,1.519204974180726,3184954374.8281536,4.306714085872257,3.4568740604644015,80071837.10298261,3.614158905779096,402309.5168382002,3.9668445785423057,3436792451551235.5,3528618.9749738607,737135699.9016662,2079189153.1880205,286399878069437.2,992116363829287.0
p02,ARCH-p_15-q_36-o_24-lags_48-power_1-dist_ged-mean_HAR-vol_GARCH,39.241939067840576,1.5238120607701464,33.86251413308138,3.565460254190793,4.765927663875895,24075584045990.77,3.118112164106899,4.885372012642132e+47,0.7946634160915681,554496074.6847963,7.54615718678522e+143,1.4375683129725401e+41,3.316291445340056e+31,6.288464322321016e+142,2.178387941568838e+143
p02,ARCH-p_36-q_12-o_12-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,21.292380332946777,1.4807722004522166,2.4695017487180997,3.5987826401367045,4.467703224959554,3.456064622976974,2.8259024133219,1.9381094274306911,1.1993981758187402e+31,1181047963170.1858,1426.973371326035,642161125915.9404,1915356543213.2258,9.994984798489501e+29,3.462364298372479e+30
p02,ARCH-p_36-q_12-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_GARCH,16.895978689193726,1.480988819058906,2.3905911872661894,3.521611853212908,4.500352119249957,3.461890239967887,530.6499979985407,2129939541339181.8,1.2155030281486776e+32,138.67629942772737,inf,6.39905353335766e+25,inf,inf,
p02,ARCH-p_36-q_12-o_12-lags_36-power_1-dist_ged-mean_AR-vol_GARCH,10.674091339111328,1.4553998725727446,2.4087417397618154,373661.3064040689,80549548.26279783,7.358930015521296e+56,4.5277287822179415e+24,5725126390421452.0,1.734119253683853e+96,3.241897790825808e+39,45197416370.027435,4577247592.419003,65200.91179784852,1.4450993780698776e+95,5.005971089606428e+95
p02,ARCH-p_36-q_12-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_GARCH,15.255969047546387,1.4566922844066559,2.5768057918343197,3.4618742060550893,4.493248064352959,7250204710849.874,2.58429714050104e+24,4.29429514905922,3125381.5695979954,8469982.548680706,877975.4755468138,12472.339177464439,1.8533990731328763e+22,2.1690259426996826e+23,7.455549729382053e+23
p02,ARCH-p_36-q_12-o_12-lags_48-power_1-dist_ged-mean_AR-vol_GARCH,28.815059661865234,1.5333003757031964,2.6389058408566215,2.8212911722454916,4.861507640165564,3.5786312205701076,4.384036227347665e+19,2338230760.3393006,0.6636316177720195,752779808787332.1,1192225451992.0723,50795127.505391434,4.648319467084457e+99,3.873599555903714e+98,1.3418542478002944e+99
p02,ARCH-p_36-q_12-o_12-lags_48-power_1-dist_ged-mean_HAR-vol_GARCH,24.55312156677246,1.5252509603028563,2.490641297844647,3.5620417261967323,4.635356851066767,3.608238580800042,3.118924852847308,12.483884983657374,6242.933252607113,3.3903918856188573e+68,16.34531996940254,6271.789009761931,2.700745459056416e+21,2.825326571349048e+67,9.78721833910185e+67
p02,ARCH-p_36-q_12-o_24-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,15.826151847839355,1.4868542938073557,2.6169078882067307,3.484007950032021,15072420788835.598,2363.2501968724764,3.4032763834665377e+25,5.411350292996307e+16,143676.78038063564,1.3548936772742264e+24,5100924762564462.0,8.732119340273877e+35,1.2857185464972182e+60,1.0714321220810152e+59,3.711549744611316e+59
