run_id,experiment_type,ctx_fh,model,dataset,mode,timestamp,context_length,forecast_length,rmse,mae,mape,mse,total_episodes,git_commit,run_path
2026-02-26_0100_aleppo_2017_zeroshot,standard_forecasting,512ctx_48fh,sundial,aleppo_2017,zeroshot,2026-02-26T01:33:19.008110,512,48,2.630057819647052,1.8685564700208013,24.598787801676163,6.917204134686605,33126,2dc9a64,experiments/standard_forecasting/512ctx_48fh/sundial/2026-02-26_0100_aleppo_2017_zeroshot
2026-02-13_0230_aleppo_2017_zeroshot,standard_forecasting,512ctx_96fh,sundial,aleppo_2017,zeroshot,2026-02-13T02:33:32.916494,512,96,2.971946364322574,2.2066844951450926,29.1613910372562,8.832465192410165,2955,8ec485c,experiments/standard_forecasting/512ctx_96fh/sundial/2026-02-13_0230_aleppo_2017_zeroshot
2026-02-13_0109_aleppo_2017_zeroshot,standard_forecasting,512ctx_96fh,sundial,aleppo_2017,zeroshot,2026-02-13T01:12:14.126131,512,96,2.9727387736206143,2.204761968159568,29.09872725265205,8.837175816187393,2955,8ec485c,experiments/standard_forecasting/512ctx_96fh/sundial/2026-02-13_0109_aleppo_2017_zeroshot
2026-02-26_0101_aleppo_2017_zeroshot,standard_forecasting,512ctx_96fh,sundial,aleppo_2017,zeroshot,2026-02-26T01:20:45.205470,512,96,3.044897071516803,2.262103574648232,30.040029573025553,9.271398176131603,15969,2dc9a64,experiments/standard_forecasting/512ctx_96fh/sundial/2026-02-26_0101_aleppo_2017_zeroshot
2026-02-26_0356_brown_2019_zeroshot,standard_forecasting,512ctx_48fh,sundial,brown_2019,zeroshot,2026-02-26T04:29:41.200109,512,48,2.620969306593881,1.860099053929246,22.555732011225246,6.8694801061072095,25573,2dc9a64,experiments/standard_forecasting/512ctx_48fh/sundial/2026-02-26_0356_brown_2019_zeroshot
2026-02-21_2107_brown_2019_zeroshot,standard_forecasting,512ctx_96fh,sundial,brown_2019,zeroshot,2026-02-21T21:10:56.189905,512,96,2.86528500459187,2.1106762878599428,26.669861719506766,8.209858157539033,3571,4185daf,experiments/standard_forecasting/512ctx_96fh/sundial/2026-02-21_2107_brown_2019_zeroshot
2026-02-21_2118_brown_2019_zeroshot,standard_forecasting,512ctx_96fh,sundial,brown_2019,zeroshot,2026-02-21T21:25:58.194044,512,96,2.963372783630922,2.197082139434811,26.57170064226071,8.78157825476448,8021,4185daf,experiments/standard_forecasting/512ctx_96fh/sundial/2026-02-21_2118_brown_2019_zeroshot
2026-02-13_0056_brown_2019_zeroshot,standard_forecasting,512ctx_96fh,sundial,brown_2019,zeroshot,2026-02-13T01:03:07.309207,512,96,2.964223877954573,2.1971034819580657,26.578217128549202,8.786623198636049,8021,8ec485c,experiments/standard_forecasting/512ctx_96fh/sundial/2026-02-13_0056_brown_2019_zeroshot
2026-02-26_0353_brown_2019_zeroshot,standard_forecasting,512ctx_96fh,sundial,brown_2019,zeroshot,2026-02-26T04:07:25.555502,512,96,2.9739585049607147,2.193895674427997,26.635788634689863,8.844429189228169,12449,2dc9a64,experiments/standard_forecasting/512ctx_96fh/sundial/2026-02-26_0353_brown_2019_zeroshot
2026-02-26_0022_lynch_2022_zeroshot,standard_forecasting,512ctx_48fh,sundial,lynch_2022,zeroshot,2026-02-26T00:40:18.227975,512,48,2.714754414326275,1.94072986535928,24.95099829521628,7.369891530103997,17897,2dc9a64,experiments/standard_forecasting/512ctx_48fh/sundial/2026-02-26_0022_lynch_2022_zeroshot
2026-02-26_0021_lynch_2022_zeroshot,standard_forecasting,512ctx_96fh,sundial,lynch_2022,zeroshot,2026-02-26T00:31:27.935310,512,96,3.0002443754269876,2.215954140419224,28.44201423403868,9.001466312281275,8699,2dc9a64,experiments/standard_forecasting/512ctx_96fh/sundial/2026-02-26_0021_lynch_2022_zeroshot
2026-02-13_0113_lynch_2022_zeroshot,standard_forecasting,512ctx_96fh,sundial,lynch_2022,zeroshot,2026-02-13T01:14:45.290892,512,96,3.2135879442517896,2.2134524817102483,23.918272704346844,10.327147475440443,12,8ec485c,experiments/standard_forecasting/512ctx_96fh/sundial/2026-02-13_0113_lynch_2022_zeroshot
2026-02-26_0407_tamborlane_2008_zeroshot,standard_forecasting,512ctx_48fh,sundial,tamborlane_2008,zeroshot,2026-02-26T05:18:30.109726,512,48,3.0661147040985717,2.1941346632840757,28.943117335338325,9.401059378689471,65274,2dc9a64,experiments/standard_forecasting/512ctx_48fh/sundial/2026-02-26_0407_tamborlane_2008_zeroshot
2026-02-26_0412_tamborlane_2008_zeroshot,standard_forecasting,512ctx_96fh,sundial,tamborlane_2008,zeroshot,2026-02-26T04:55:28.850282,512,96,3.3395554114229333,2.4673450649789004,32.797939949139035,11.152630345964198,32523,2dc9a64,experiments/standard_forecasting/512ctx_96fh/sundial/2026-02-26_0412_tamborlane_2008_zeroshot
2026-02-27_1649_aleppo_2017_finetuned,standard_forecasting,512ctx_96fh,ttm,aleppo_2017,finetuned,2026-02-27T16:57:20.968818,512,96,2.9532029420225516,2.2154256325068786,29.739303297124806,8.721407616770655,15969,7de8edd,experiments/standard_forecasting/512ctx_96fh/ttm/2026-02-27_1649_aleppo_2017_finetuned
2026-02-16_1808_aleppo_2017_finetuned,standard_forecasting,512ctx_96fh,ttm,aleppo_2017,finetuned,2026-02-16T18:51:20.393668,512,96,3.4849888479539386,2.7021941272778363,36.537734411448135,12.14514727036332,3074,daba098,experiments/standard_forecasting/512ctx_96fh/ttm/2026-02-16_1808_aleppo_2017_finetuned
2026-02-15_2244_aleppo_2017_finetuned,standard_forecasting,512ctx_96fh,ttm,aleppo_2017,finetuned,2026-02-15T23:40:02.007567,512,96,3.517797384455059,2.722665177320961,36.599287403996335,12.374898438078855,3074,daba098,experiments/standard_forecasting/512ctx_96fh/ttm/2026-02-15_2244_aleppo_2017_finetuned
2026-02-15_2353_aleppo_2017_zeroshot,standard_forecasting,512ctx_96fh,ttm,aleppo_2017,zeroshot,2026-02-16T00:04:16.741573,512,96,3.84931246664308,2.9606908754675265,39.17700544221512,14.817206465853832,3074,daba098,experiments/standard_forecasting/512ctx_96fh/ttm/2026-02-15_2353_aleppo_2017_zeroshot
2026-02-27_1721_brown_2019_finetuned,standard_forecasting,512ctx_96fh,ttm,brown_2019,finetuned,2026-02-27T17:26:38.832059,512,96,2.861931585686027,2.1392037140180666,26.403947075626945,8.190652401147338,12449,7de8edd,experiments/standard_forecasting/512ctx_96fh/ttm/2026-02-27_1721_brown_2019_finetuned
2026-02-14_2133_brown_2019_finetuned,standard_forecasting,512ctx_96fh,ttm,brown_2019,finetuned,2026-02-14T22:50:19.835355,512,96,3.394018023092297,2.5869819650097887,32.11967534113101,11.519358341075343,8031,daba098,experiments/standard_forecasting/512ctx_96fh/ttm/2026-02-14_2133_brown_2019_finetuned
2026-02-15_1742_brown_2019_finetuned,standard_forecasting,512ctx_96fh,ttm,brown_2019,finetuned,2026-02-15T19:33:58.719981,512,96,3.4035320429861837,2.59907510039395,32.37381586993579,11.584030367633705,8031,daba098,experiments/standard_forecasting/512ctx_96fh/ttm/2026-02-15_1742_brown_2019_finetuned
2026-02-15_2029_brown_2019_finetuned,standard_forecasting,512ctx_96fh,ttm,brown_2019,finetuned,2026-02-15T22:39:27.396368,512,96,3.4081629137789102,2.6067482632397616,32.53612050088528,11.615574446857952,8031,daba098,experiments/standard_forecasting/512ctx_96fh/ttm/2026-02-15_2029_brown_2019_finetuned
2026-02-14_1919_brown_2019_finetuned,standard_forecasting,512ctx_96fh,ttm,brown_2019,finetuned,2026-02-14T20:26:14.101482,512,96,3.4134490089093465,2.582775748637334,31.486964684246622,11.6516341364242,8031,daba098,experiments/standard_forecasting/512ctx_96fh/ttm/2026-02-14_1919_brown_2019_finetuned
2026-02-16_0125_brown_2019_zeroshot,standard_forecasting,512ctx_96fh,ttm,brown_2019,zeroshot,2026-02-16T01:45:49.022041,512,96,3.6288766117137925,2.7531309631568917,34.10493302599806,13.168745463043376,8031,daba098,experiments/standard_forecasting/512ctx_96fh/ttm/2026-02-16_0125_brown_2019_zeroshot
2026-02-27_1730_lynch_2022_finetuned,standard_forecasting,512ctx_96fh,ttm,lynch_2022,finetuned,2026-02-27T17:34:31.153056,512,96,2.9008338259721587,2.16688761882572,28.399605845987352,8.414836885904272,8699,7de8edd,experiments/standard_forecasting/512ctx_96fh/ttm/2026-02-27_1730_lynch_2022_finetuned
2026-02-16_0225_lynch_2022_zeroshot,standard_forecasting,512ctx_96fh,ttm,lynch_2022,zeroshot,2026-02-16T02:26:40.725290,512,96,3.735797711747136,2.9737942180037495,37.434839314182746,13.956184543095139,10,daba098,experiments/standard_forecasting/512ctx_96fh/ttm/2026-02-16_0225_lynch_2022_zeroshot
2026-02-15_2341_lynch_2022_finetuned,standard_forecasting,512ctx_96fh,ttm,lynch_2022,finetuned,2026-02-15T23:42:40.121826,512,96,3.764725331686313,2.9272641072273253,36.355069038858254,14.17315682304062,10,daba098,experiments/standard_forecasting/512ctx_96fh/ttm/2026-02-15_2341_lynch_2022_finetuned
2026-02-16_1804_lynch_2022_finetuned,standard_forecasting,512ctx_96fh,ttm,lynch_2022,finetuned,2026-02-16T18:05:59.755580,512,96,3.800923722505819,3.0287897747556367,38.2552410859883,14.44702114430749,10,daba098,experiments/standard_forecasting/512ctx_96fh/ttm/2026-02-16_1804_lynch_2022_finetuned
