=========================================
Toto Finetuning: Diabetes FM Project
=========================================
Job ID: 1390951
Node: watgpu708
Started at: Sat Jan 10 04:39:01 PM UTC 2026
Sat Jan 10 16:39:01 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.82.07              Driver Version: 580.82.07      CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H200 NVL                On  |   00000000:4F:00.0 Off |                    0 |
| N/A   32C    P0             70W /  600W |       0MiB / 143771MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Starting Toto finetuning pipeline...
{'loss': 9.9319, 'grad_norm': 68.65196228027344, 'learning_rate': 9.9e-07, 'epoch': 0.0}
{'loss': 6.7507, 'grad_norm': 27.900693893432617, 'learning_rate': 1.9900000000000004e-06, 'epoch': 0.01}
{'loss': 3.849, 'grad_norm': 18.019500732421875, 'learning_rate': 2.99e-06, 'epoch': 0.01}
{'loss': 2.6062, 'grad_norm': 15.01858901977539, 'learning_rate': 3.990000000000001e-06, 'epoch': 0.02}
{'loss': 2.3152, 'grad_norm': 11.505325317382812, 'learning_rate': 4.9900000000000005e-06, 'epoch': 0.02}
{'loss': 2.2938, 'grad_norm': 15.071274757385254, 'learning_rate': 5.99e-06, 'epoch': 0.03}
{'loss': 2.1813, 'grad_norm': 7.721983432769775, 'learning_rate': 6.99e-06, 'epoch': 0.03}
{'loss': 2.107, 'grad_norm': 14.404199600219727, 'learning_rate': 7.990000000000001e-06, 'epoch': 0.04}
{'loss': 2.0812, 'grad_norm': 10.593664169311523, 'learning_rate': 8.99e-06, 'epoch': 0.04}
{'loss': 2.0409, 'grad_norm': 9.43014144897461, 'learning_rate': 9.990000000000001e-06, 'epoch': 0.04}
{'loss': 2.0021, 'grad_norm': 19.981245040893555, 'learning_rate': 9.954299958454508e-06, 'epoch': 0.05}
