dataset,model,15min_mean,30min_mean,60min_mean,120min_mean,240min_mean,360min_mean,480min_mean,15min_std,30min_std,60min_std,120min_std,240min_std,360min_std,480min_std
aleppo_2017,chronos2,0.2822,0.4601,0.7631,1.2189,1.7864,2.0705,2.2131,0.3033,0.4537,0.6941,1.0000,1.2872,1.4092,1.3818
aleppo_2017,tide,0.3744,0.5659,0.8901,1.3695,1.9308,2.1929,2.3138,0.3849,0.5406,0.7880,1.1002,1.3619,1.4591,1.4138
aleppo_2017,moirai,0.4520,0.6041,0.8945,1.3452,1.9184,2.1894,2.3207,0.3868,0.5065,0.7299,1.0340,1.3187,1.4324,1.3899
aleppo_2017,timesfm,0.3100,0.4890,0.8075,1.3023,1.9076,2.1942,2.3308,0.3158,0.4690,0.7134,1.0241,1.3252,1.4371,1.3879
aleppo_2017,ttm,0.3408,0.5290,0.8659,1.3886,1.9950,2.2655,2.3874,0.3293,0.4829,0.7249,1.0464,1.3559,1.4580,1.4036
aleppo_2017,toto,0.2886,0.4971,0.8518,1.4063,2.0656,2.3580,2.5177,0.3107,0.4634,0.7119,1.0393,1.3608,1.4610,1.3873
aleppo_2017,moment,2.2095,2.3382,2.4541,2.6638,2.8444,2.8965,2.9003,1.7637,1.7589,1.7643,1.8240,1.8059,1.7348,1.6063
brown_2019,chronos2,0.2894,0.5037,0.8564,1.3245,1.7892,1.9546,2.0408,0.2794,0.4898,0.7716,1.0931,1.3124,1.3829,1.3614
brown_2019,timesfm,0.3016,0.5176,0.8684,1.3443,1.8222,2.0179,2.1231,0.2714,0.4770,0.7626,1.0885,1.2948,1.3378,1.2979
brown_2019,tide,0.4530,0.6681,1.0107,1.4497,1.8798,2.0472,2.1273,0.4175,0.6051,0.8549,1.1579,1.3283,1.3650,1.3317
brown_2019,moirai,0.4668,0.6599,1.0010,1.4572,1.9070,2.0648,2.1491,0.3813,0.5575,0.8108,1.1220,1.3148,1.3557,1.3157
brown_2019,ttm,0.3579,0.5782,0.9342,1.4209,1.9186,2.1344,2.2405,0.3241,0.5228,0.7876,1.0907,1.2634,1.2891,1.2511
brown_2019,toto,0.3219,0.5618,0.9558,1.4897,2.0129,2.2002,2.3522,0.2841,0.4850,0.7503,1.0603,1.2722,1.3422,1.2764
brown_2019,moment,2.1556,2.2511,2.3480,2.5072,2.6071,2.6585,2.6749,1.7194,1.6934,1.6648,1.6821,1.5730,1.4839,1.4048
lynch_2022,chronos2,0.3550,0.5805,0.9339,1.4001,1.7838,1.8547,1.8884,0.3374,0.5221,0.7881,1.0762,1.2692,1.2704,1.2386
lynch_2022,moirai,0.4112,0.6566,1.0406,1.5353,1.9456,2.0207,2.0562,0.3700,0.5634,0.8442,1.1358,1.3570,1.3477,1.3049
lynch_2022,timesfm,0.3668,0.6035,0.9839,1.4983,1.9329,2.0476,2.1080,0.3653,0.5646,0.8718,1.1774,1.3346,1.3082,1.2573
lynch_2022,tide,0.5105,0.7636,1.1464,1.6307,2.0373,2.1334,2.1653,0.4816,0.6715,0.9408,1.2051,1.3515,1.3248,1.2626
lynch_2022,ttm,0.4155,0.6572,1.0425,1.5606,2.0136,2.1549,2.2225,0.3737,0.5670,0.8483,1.1287,1.2894,1.2502,1.1868
lynch_2022,toto,0.3810,0.6410,1.0605,1.6152,2.0552,2.1447,2.2774,0.3455,0.5356,0.8253,1.1131,1.2916,1.2651,1.1907
lynch_2022,moment,2.0705,2.1812,2.3064,2.4893,2.5997,2.6123,2.5987,1.6795,1.6747,1.6664,1.6684,1.5530,1.4248,1.3307
