cohort,dataset,n_patients,n_rows,n_episodes,n_episodes_with_hypo,hypo_rate,mean_bg,std_bg,mean_min_bg
patient_holdout,aleppo_2017,22,1248246,2263,585,0.25850640742377373,8.561150045744188,3.417122846446841,5.649693832460072
temporal_holdout,aleppo_2017,203,1118491,1980,462,0.23333333333333334,8.866525899627266,3.5461271308629816,5.815565656565656
temporal_train,aleppo_2017,203,10109600,20010,4627,0.2312343828085957,8.96548269862309,3.598891734131999,5.892991637298234
patient_holdout,brown_2019,16,862599,2031,211,0.10388970950270802,9.202658604983311,3.4360600739179494,5.991458230756605
temporal_holdout,brown_2019,152,827433,1778,252,0.14173228346456693,9.03028896599483,3.492290251173039,5.725590551181101
temporal_train,brown_2019,152,7335988,17119,2693,0.1573105905718792,8.854212205636104,3.3793120938670094,5.6229352932831524
patient_holdout,lynch_2022,34,805682,1711,321,0.18760958503798947,8.793032660528596,3.212142628554971,5.171028638223261
temporal_holdout,lynch_2022,303,781306,1217,276,0.22678718159408381,8.939297074385708,3.3951514933369142,5.008198438783894
temporal_train,lynch_2022,303,6268222,12442,2685,0.21580131811605852,8.939007381997639,3.3166236932631996,5.06975198836019
patient_holdout,tamborlane_2008,45,1727221,5916,2261,0.382183908045977,8.744875089955388,3.5676956127828507,4.686588060998109
temporal_holdout,tamborlane_2008,405,1646901,4866,1891,0.38861487875051376,8.843682704263411,3.8032674397469037,4.731275888589481
temporal_train,tamborlane_2008,405,14790624,50614,21267,0.42018018729995654,8.795028477129248,3.7308669677101776,4.62670078089231
