validation_id,model_id,runtime_secs,MeanSquaredError_mean,MeanSquaredError_std
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,23.97963237762451,5.309237811941559e+16,1.8383599987335843e+17
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_GARCH,9.279334783554075,2.8275615690530416e+83,9.794960598258087e+83
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_ged-mean_AR-vol_GARCH,15.702289819717407,1.8150377762235228e+25,6.287471186385189e+25
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_GARCH,17.150432586669922,5.388832952786581e+83,1.8667464935455546e+84
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_ged-mean_AR-vol_GARCH,22.581445693969727,328402063500.84,1137526046421.2112
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_ged-mean_HAR-vol_GARCH,16.72648572921753,1.4026454596425817e+57,4.8587816090957786e+57
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,28.02776670455933,5.6222552455671576e+16,1.9360787952693222e+17
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_ged-mean_HAR-vol_GARCH,24.72228717803955,4.385856588225e+148,1.5193052891032784e+149
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_ged-mean_AR-vol_GARCH,34.46377086639404,9.89648374224726e+28,3.428242531570326e+29
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_ged-mean_HAR-vol_GARCH,36.43815565109253,inf,
p02,ARCH-p_15-q_12-o_24-lags_48-power_1-dist_ged-mean_AR-vol_GARCH,33.56349229812622,3.991111906186673e+53,1.3825617200416778e+54
p02,ARCH-p_15-q_12-o_24-lags_48-power_1-dist_ged-mean_HAR-vol_GARCH,19.726049661636356,1.6154055419139366e+54,5.595928946846546e+54
p02,ARCH-p_15-q_24-o_12-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,15.88235855102539,4.316480121289929e+18,1.4943162669556337e+19
p02,ARCH-p_15-q_24-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_GARCH,22.23670482635498,inf,
p02,ARCH-p_15-q_24-o_12-lags_36-power_1-dist_ged-mean_AR-vol_GARCH,30.563044786453247,1.655596062954569e+49,5.735152995589773e+49
p02,ARCH-p_15-q_24-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_GARCH,32.8507034778595,2.705880663315394e+142,9.373445576160873e+142
p02,ARCH-p_15-q_24-o_12-lags_48-power_1-dist_ged-mean_AR-vol_GARCH,33.95813846588135,1.1719464787149844e+19,3.615907336793479e+19
