validation_id,model_id,runtime_secs,MeanSquaredError_mean,MeanSquaredError_std
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_ged-mean_AR-vol_HARCH,24.83533406257629,1.6888994744302777e+99,5.850519397179229e+99
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_HARCH,14.404186248779297,5.660795548988866e+101,1.9609571004216921e+102
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_ged-mean_AR-vol_HARCH,28.024311542510983,3.122856019932016e+16,1.0817890582489155e+17
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_HARCH,29.780515909194943,5.893799200832821e+85,2.0416719330902576e+86
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_ged-mean_AR-vol_HARCH,28.298582792282104,5.402137543084617e+21,1.8713486570262708e+22
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_ged-mean_HAR-vol_HARCH,34.85582208633423,1.6294515716405467e+80,5.644585821108769e+80
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_ged-mean_AR-vol_HARCH,19.49751877784729,1.6888994744302777e+99,5.850519397179229e+99
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_ged-mean_HAR-vol_HARCH,17.863074779510498,5.660795548988866e+101,1.9609571004216921e+102
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_ged-mean_AR-vol_HARCH,26.687288522720337,3.122856019932016e+16,1.0817890582489155e+17
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_ged-mean_HAR-vol_HARCH,25.064412117004395,5.893799200832821e+85,2.0416719330902576e+86
p02,ARCH-p_15-q_12-o_24-lags_48-power_1-dist_ged-mean_AR-vol_HARCH,28.484695434570312,5.402137543084617e+21,1.8713486570262708e+22
p02,ARCH-p_15-q_12-o_24-lags_48-power_1-dist_ged-mean_HAR-vol_HARCH,33.935523986816406,1.6294515716405467e+80,5.644585821108769e+80
p02,ARCH-p_15-q_24-o_12-lags_24-power_1-dist_ged-mean_AR-vol_HARCH,20.22432518005371,1.6888994744302777e+99,5.850519397179229e+99
p02,ARCH-p_15-q_24-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_HARCH,18.82066321372986,5.660795548988866e+101,1.9609571004216921e+102
p02,ARCH-p_15-q_24-o_12-lags_36-power_1-dist_ged-mean_AR-vol_HARCH,27.535088777542114,3.122856019932016e+16,1.0817890582489155e+17
p02,ARCH-p_15-q_24-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_HARCH,29.1958909034729,5.893799200832821e+85,2.0416719330902576e+86
p02,ARCH-p_15-q_24-o_12-lags_48-power_1-dist_ged-mean_AR-vol_HARCH,32.643070697784424,5.402137543084617e+21,1.8713486570262708e+22
p02,ARCH-p_15-q_24-o_12-lags_48-power_1-dist_ged-mean_HAR-vol_HARCH,30.144814252853397,1.6294515716405467e+80,5.644585821108769e+80
p02,ARCH-p_15-q_24-o_24-lags_24-power_1-dist_ged-mean_AR-vol_HARCH,20.137545824050903,1.6888994744302777e+99,5.850519397179229e+99
p02,ARCH-p_15-q_24-o_24-lags_24-power_1-dist_ged-mean_HAR-vol_HARCH,19.750536918640137,5.660795548988866e+101,1.9609571004216921e+102
p02,ARCH-p_15-q_24-o_24-lags_36-power_1-dist_ged-mean_AR-vol_HARCH,35.38961124420166,3.122856019932016e+16,1.0817890582489155e+17
p02,ARCH-p_15-q_24-o_24-lags_36-power_1-dist_ged-mean_HAR-vol_HARCH,25.109883308410645,5.893799200832821e+85,2.0416719330902576e+86
p02,ARCH-p_15-q_24-o_24-lags_48-power_1-dist_ged-mean_AR-vol_HARCH,43.79652786254883,5.402137543084617e+21,1.8713486570262708e+22
p02,ARCH-p_15-q_24-o_24-lags_48-power_1-dist_ged-mean_HAR-vol_HARCH,44.07571935653687,1.6294515716405467e+80,5.644585821108769e+80
p02,ARCH-p_15-q_36-o_12-lags_24-power_1-dist_ged-mean_AR-vol_HARCH,18.1088650226593,1.6888994744302777e+99,5.850519397179229e+99
p02,ARCH-p_15-q_36-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_HARCH,21.563929557800293,5.660795548988866e+101,1.9609571004216921e+102
p02,ARCH-p_15-q_36-o_12-lags_36-power_1-dist_ged-mean_AR-vol_HARCH,24.066641330718998,3.122856019932016e+16,1.0817890582489155e+17
p02,ARCH-p_15-q_36-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_HARCH,28.93929934501648,5.893799200832821e+85,2.0416719330902576e+86
p02,ARCH-p_15-q_36-o_12-lags_48-power_1-dist_ged-mean_AR-vol_HARCH,38.21465444564819,5.402137543084617e+21,1.8713486570262708e+22
p02,ARCH-p_15-q_36-o_12-lags_48-power_1-dist_ged-mean_HAR-vol_HARCH,33.20717000961304,1.6294515716405467e+80,5.644585821108769e+80
p02,ARCH-p_15-q_36-o_24-lags_24-power_1-dist_ged-mean_AR-vol_HARCH,26.50029325485229,1.6888994744302777e+99,5.850519397179229e+99
p02,ARCH-p_15-q_36-o_24-lags_24-power_1-dist_ged-mean_HAR-vol_HARCH,15.625206232070925,5.660795548988866e+101,1.9609571004216921e+102
p02,ARCH-p_15-q_36-o_24-lags_36-power_1-dist_ged-mean_AR-vol_HARCH,27.28499007225037,3.122856019932016e+16,1.0817890582489155e+17
p02,ARCH-p_15-q_36-o_24-lags_36-power_1-dist_ged-mean_HAR-vol_HARCH,27.45296025276184,5.893799200832821e+85,2.0416719330902576e+86
p02,ARCH-p_15-q_36-o_24-lags_48-power_1-dist_ged-mean_AR-vol_HARCH,28.912203073501587,5.402137543084617e+21,1.8713486570262708e+22
p02,ARCH-p_15-q_36-o_24-lags_48-power_1-dist_ged-mean_HAR-vol_HARCH,35.55936598777771,1.6294515716405467e+80,5.644585821108769e+80
p02,ARCH-p_36-q_12-o_12-lags_24-power_1-dist_ged-mean_AR-vol_HARCH,106.10552501678468,5434286751855494.0,1.8824921514224308e+16
p02,ARCH-p_36-q_12-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_HARCH,121.47683763504028,2.3783229636025864,1.246670186937649
p02,ARCH-p_36-q_12-o_12-lags_36-power_1-dist_ged-mean_AR-vol_HARCH,139.6534960269928,2.4161576376618754,1.2506421046281748
p02,ARCH-p_36-q_12-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_HARCH,96.12430572509766,2.847305852551109e+83,9.863356802613481e+83
p02,ARCH-p_36-q_12-o_12-lags_48-power_1-dist_ged-mean_AR-vol_HARCH,207.92717242240903,2678247079296.612,6265983120556.322
p02,ARCH-p_36-q_12-o_12-lags_48-power_1-dist_ged-mean_HAR-vol_HARCH,146.18059635162354,1.595994738199425e+123,5.528687950347986e+123
p02,ARCH-p_36-q_12-o_24-lags_24-power_1-dist_ged-mean_AR-vol_HARCH,124.00275111198424,5434286751855494.0,1.8824921514224308e+16
p02,ARCH-p_36-q_12-o_24-lags_24-power_1-dist_ged-mean_HAR-vol_HARCH,124.55850791931152,2.3783229636025864,1.246670186937649
p02,ARCH-p_36-q_12-o_24-lags_36-power_1-dist_ged-mean_AR-vol_HARCH,147.02352380752563,2.4161576376618754,1.2506421046281748
p02,ARCH-p_36-q_12-o_24-lags_36-power_1-dist_ged-mean_HAR-vol_HARCH,117.1518042087555,2.847305852551109e+83,9.863356802613481e+83
p02,ARCH-p_36-q_12-o_24-lags_48-power_1-dist_ged-mean_AR-vol_HARCH,168.25513339042664,2678247079296.612,6265983120556.322
p02,ARCH-p_36-q_12-o_24-lags_48-power_1-dist_ged-mean_HAR-vol_HARCH,135.99082684516907,1.595994738199425e+123,5.528687950347986e+123
p02,ARCH-p_36-q_24-o_12-lags_24-power_1-dist_ged-mean_AR-vol_HARCH,115.93013644218443,5434286751855494.0,1.8824921514224308e+16
p02,ARCH-p_36-q_24-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_HARCH,115.12859916687012,2.3783229636025864,1.246670186937649
p02,ARCH-p_36-q_24-o_12-lags_36-power_1-dist_ged-mean_AR-vol_HARCH,143.24819612503052,2.4161576376618754,1.2506421046281748
p02,ARCH-p_36-q_24-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_HARCH,102.2405881881714,2.847305852551109e+83,9.863356802613481e+83
p02,ARCH-p_36-q_24-o_12-lags_48-power_1-dist_ged-mean_AR-vol_HARCH,133.63493537902832,2678247079296.612,6265983120556.322
p02,ARCH-p_36-q_24-o_12-lags_48-power_1-dist_ged-mean_HAR-vol_HARCH,133.23946809768677,1.595994738199425e+123,5.528687950347986e+123
p02,ARCH-p_36-q_24-o_24-lags_24-power_1-dist_ged-mean_AR-vol_HARCH,96.32807898521423,5434286751855494.0,1.8824921514224308e+16
p02,ARCH-p_36-q_24-o_24-lags_24-power_1-dist_ged-mean_HAR-vol_HARCH,126.51569437980652,2.3783229636025864,1.246670186937649
p02,ARCH-p_36-q_24-o_24-lags_36-power_1-dist_ged-mean_AR-vol_HARCH,139.64721822738647,2.4161576376618754,1.2506421046281748
p02,ARCH-p_36-q_24-o_24-lags_36-power_1-dist_ged-mean_HAR-vol_HARCH,110.78901195526124,2.847305852551109e+83,9.863356802613481e+83
p02,ARCH-p_36-q_24-o_24-lags_48-power_1-dist_ged-mean_AR-vol_HARCH,155.38940167427063,2678247079296.612,6265983120556.322
p02,ARCH-p_36-q_24-o_24-lags_48-power_1-dist_ged-mean_HAR-vol_HARCH,179.25467157363892,1.595994738199425e+123,5.528687950347986e+123
p02,ARCH-p_36-q_36-o_12-lags_24-power_1-dist_ged-mean_AR-vol_HARCH,111.9367172718048,5434286751855494.0,1.8824921514224308e+16
p02,ARCH-p_36-q_36-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_HARCH,128.0991039276123,2.3783229636025864,1.246670186937649
p02,ARCH-p_36-q_36-o_12-lags_36-power_1-dist_ged-mean_AR-vol_HARCH,145.0991473197937,2.4161576376618754,1.2506421046281748
p02,ARCH-p_36-q_36-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_HARCH,112.51761317253111,2.847305852551109e+83,9.863356802613481e+83
p02,ARCH-p_36-q_36-o_12-lags_48-power_1-dist_ged-mean_AR-vol_HARCH,174.63611483573914,2678247079296.612,6265983120556.322
