validation_id,model_id,runtime_secs,MeanSquaredError_mean,MeanSquaredError_std
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_ged-mean_AR-vol_GARCH,3.454054594039917,3.629599933128691,1.6026667804212935
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_ged-mean_HARX-vol_GARCH,2.660989761352539,3.6281973956418407,1.6019855234313236
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_normal-mean_AR-vol_GARCH,2.6337826251983643,3.667826233906872,1.6669043412089883
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_normal-mean_HARX-vol_GARCH,2.448460102081299,3.666263892919514,1.6658032770668294
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_skewt-mean_AR-vol_GARCH,4.290842533111572,3.5925199209689653,1.573987282922951
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_skewt-mean_HARX-vol_GARCH,3.948755025863648,3.214560595085388e+41,1.0661491359759805e+42
p01,ARCH-p_12-q_12-o_4-lags_16-power_1-dist_ged-mean_AR-vol_GARCH,3.5460994243621826,3.6572973805315527,1.6069742618310945
p01,ARCH-p_12-q_12-o_4-lags_16-power_1-dist_ged-mean_HARX-vol_GARCH,3.2938828468322754,3.659094072121492,1.6058211665260247
p01,ARCH-p_12-q_12-o_4-lags_16-power_1-dist_normal-mean_AR-vol_GARCH,3.0100317001342773,3.678556379720589,1.667548477930121
p01,ARCH-p_12-q_12-o_4-lags_16-power_1-dist_normal-mean_HARX-vol_GARCH,2.7962188720703125,3.6835503569805415,1.6636695216292436
p01,ARCH-p_12-q_12-o_4-lags_16-power_1-dist_skewt-mean_AR-vol_GARCH,4.713226079940796,6.601935714742572e+19,2.189614365584789e+20
p01,ARCH-p_12-q_12-o_4-lags_16-power_1-dist_skewt-mean_HARX-vol_GARCH,4.763344049453735,4.1902242687761575,2.850822101881625
p01,ARCH-p_12-q_12-o_4-lags_20-power_1-dist_ged-mean_AR-vol_GARCH,4.863334894180298,3.629149314897742,1.61927451495764
p01,ARCH-p_12-q_12-o_4-lags_20-power_1-dist_ged-mean_HARX-vol_GARCH,3.744835615158081,3.62794961565762,1.6188437963269882
p01,ARCH-p_12-q_12-o_4-lags_20-power_1-dist_normal-mean_AR-vol_GARCH,3.133272171020508,3.673011181904144,1.7101437240451984
p01,ARCH-p_12-q_12-o_4-lags_20-power_1-dist_normal-mean_HARX-vol_GARCH,3.173592090606689,3.656967888312518,1.6953131078385877
p01,ARCH-p_12-q_12-o_4-lags_20-power_1-dist_skewt-mean_AR-vol_GARCH,6.03266978263855,3.661820907693696,1.645070311445099
p01,ARCH-p_12-q_12-o_4-lags_20-power_1-dist_skewt-mean_HARX-vol_GARCH,4.743308544158936,3.11991737551916e+147,1.0347595311507403e+148
p01,ARCH-p_12-q_12-o_4-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,5.5413007736206055,3.639473953607032,1.6136597996172315
p01,ARCH-p_12-q_12-o_4-lags_24-power_1-dist_ged-mean_HARX-vol_GARCH,4.866520643234253,3.6410352589083694,1.6151924711497438
p01,ARCH-p_12-q_12-o_4-lags_24-power_1-dist_normal-mean_AR-vol_GARCH,3.799520492553711,3.650812532198518,1.6928794604466868
p01,ARCH-p_12-q_12-o_4-lags_24-power_1-dist_normal-mean_HARX-vol_GARCH,3.6137092113494873,3.6522047966830384,1.6885287554294113
p01,ARCH-p_12-q_12-o_4-lags_24-power_1-dist_skewt-mean_AR-vol_GARCH,6.2035071849823,2.712745466762339e+27,8.997158864988205e+27
p01,ARCH-p_12-q_12-o_4-lags_24-power_1-dist_skewt-mean_HARX-vol_GARCH,5.54999566078186,4.005895852331198,2.1660154069931745
p01,ARCH-p_12-q_12-o_4-lags_28-power_1-dist_ged-mean_AR-vol_GARCH,8.277011394500732,3.662546386463214,1.6175465589216622
p01,ARCH-p_12-q_12-o_4-lags_28-power_1-dist_ged-mean_HARX-vol_GARCH,6.097572326660156,3.639223131936516,1.6088508056906663
p01,ARCH-p_12-q_12-o_4-lags_28-power_1-dist_normal-mean_AR-vol_GARCH,5.020771741867065,3.7153493697199527,1.6868416391294552
p01,ARCH-p_12-q_12-o_4-lags_28-power_1-dist_normal-mean_HARX-vol_GARCH,4.546158075332642,3.711920290924165,1.7009064001013845
p01,ARCH-p_12-q_12-o_4-lags_28-power_1-dist_skewt-mean_AR-vol_GARCH,6.234137296676636,201855016032.05743,461951303761.98334
p01,ARCH-p_12-q_12-o_4-lags_28-power_1-dist_skewt-mean_HARX-vol_GARCH,5.892945051193237,8.474302335527278e+45,2.810608120697644e+46
p01,ARCH-p_12-q_12-o_4-lags_8-power_1-dist_ged-mean_AR-vol_GARCH,2.5779712200164795,3.576439237983424,1.5643084813817467
p01,ARCH-p_12-q_12-o_4-lags_8-power_1-dist_ged-mean_HARX-vol_GARCH,2.5598175525665283,3.5759785816651206,1.5635415239549784
p01,ARCH-p_12-q_12-o_4-lags_8-power_1-dist_normal-mean_AR-vol_GARCH,2.2217230796813965,3.569775466575864,1.6435203741668305
p01,ARCH-p_12-q_12-o_4-lags_8-power_1-dist_normal-mean_HARX-vol_GARCH,2.075889825820923,3.562703530225168,1.6461318289256506
p01,ARCH-p_12-q_12-o_4-lags_8-power_1-dist_skewt-mean_AR-vol_GARCH,3.314540147781372,3.4901489769512124,1.5382931636383983
p01,ARCH-p_12-q_12-o_4-lags_8-power_1-dist_skewt-mean_HARX-vol_GARCH,3.7313790321350098,7.724195649585632e+31,2.561825877697104e+32
p01,ARCH-p_12-q_12-o_8-lags_12-power_1-dist_ged-mean_AR-vol_GARCH,5.67985725402832,3.629808464504076,1.597350330097737
p01,ARCH-p_12-q_12-o_8-lags_12-power_1-dist_ged-mean_HARX-vol_GARCH,4.475854396820068,3.630437563819936,1.5968868119018167
p01,ARCH-p_12-q_12-o_8-lags_12-power_1-dist_normal-mean_AR-vol_GARCH,3.4859235286712646,3.665675677455897,1.658901248808033
p01,ARCH-p_12-q_12-o_8-lags_12-power_1-dist_normal-mean_HARX-vol_GARCH,3.5269927978515625,3.653784829112196,1.654555402094167
p01,ARCH-p_12-q_12-o_8-lags_12-power_1-dist_skewt-mean_AR-vol_GARCH,5.486900568008423,9.14720722055973e+19,3.033785423022631e+20
p01,ARCH-p_12-q_12-o_8-lags_12-power_1-dist_skewt-mean_HARX-vol_GARCH,5.491425275802612,inf,
p01,ARCH-p_12-q_12-o_8-lags_16-power_1-dist_ged-mean_AR-vol_GARCH,5.306087255477905,3.645873534035872,1.6010078023842085
p01,ARCH-p_12-q_12-o_8-lags_16-power_1-dist_ged-mean_HARX-vol_GARCH,5.533153295516968,3.642392913329176,1.6001568206368455
p01,ARCH-p_12-q_12-o_8-lags_16-power_1-dist_normal-mean_AR-vol_GARCH,4.380698442459106,3.647940108034094,1.669920954677991
p01,ARCH-p_12-q_12-o_8-lags_16-power_1-dist_normal-mean_HARX-vol_GARCH,4.391200542449951,3.658135925640897,1.66585719069202
p01,ARCH-p_12-q_12-o_8-lags_16-power_1-dist_skewt-mean_AR-vol_GARCH,6.960470676422119,3.5956255788351426,1.5917849838066989
p01,ARCH-p_12-q_12-o_8-lags_16-power_1-dist_skewt-mean_HARX-vol_GARCH,5.307028532028198,1.4464879052914365e+113,4.797457645638832e+113
p01,ARCH-p_12-q_12-o_8-lags_20-power_1-dist_ged-mean_AR-vol_GARCH,6.732881784439087,3.6172158794307294,1.609307064456103
p01,ARCH-p_12-q_12-o_8-lags_20-power_1-dist_ged-mean_HARX-vol_GARCH,5.935793876647949,3.614225975931424,1.607744801024784
p01,ARCH-p_12-q_12-o_8-lags_20-power_1-dist_normal-mean_AR-vol_GARCH,4.801273107528687,3.659251422897697,1.7117020694057317
p01,ARCH-p_12-q_12-o_8-lags_20-power_1-dist_normal-mean_HARX-vol_GARCH,4.515741586685181,3.649809377170032,1.7017013649197426
p01,ARCH-p_12-q_12-o_8-lags_20-power_1-dist_skewt-mean_AR-vol_GARCH,7.611688137054443,430328.16595919005,1427225.4870077325
p01,ARCH-p_12-q_12-o_8-lags_20-power_1-dist_skewt-mean_HARX-vol_GARCH,6.719104051589966,7.752457657631745e+25,2.5711993253481765e+26
p01,ARCH-p_12-q_12-o_8-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,7.223674535751343,3.625355060391617,1.5995774600536117
p01,ARCH-p_12-q_12-o_8-lags_24-power_1-dist_ged-mean_HARX-vol_GARCH,6.606507301330566,3.623529364616833,1.6055551162011972
p01,ARCH-p_12-q_12-o_8-lags_24-power_1-dist_normal-mean_AR-vol_GARCH,5.960460662841797,3.640049590768786,1.6880385808165712
p01,ARCH-p_12-q_12-o_8-lags_24-power_1-dist_normal-mean_HARX-vol_GARCH,5.436236381530762,3.6425840096454816,1.6843990503542994
p01,ARCH-p_12-q_12-o_8-lags_24-power_1-dist_skewt-mean_AR-vol_GARCH,8.09869384765625,3.6288972875397913,1.6154920530312915
p01,ARCH-p_12-q_12-o_8-lags_24-power_1-dist_skewt-mean_HARX-vol_GARCH,7.696539640426636,8.630126107005952e+28,2.862289019038928e+29
p01,ARCH-p_12-q_12-o_8-lags_28-power_1-dist_ged-mean_AR-vol_GARCH,7.401231527328491,3.6504719182459526,1.612407696802092
p01,ARCH-p_12-q_12-o_8-lags_28-power_1-dist_ged-mean_HARX-vol_GARCH,7.2950279712677,3.640474467685922,1.606380404150001
p01,ARCH-p_12-q_12-o_8-lags_28-power_1-dist_normal-mean_AR-vol_GARCH,6.218222379684448,3.6955601134064806,1.706439835819339
p01,ARCH-p_12-q_12-o_8-lags_28-power_1-dist_normal-mean_HARX-vol_GARCH,5.79007363319397,3.703479509674804,1.699300664485424
p01,ARCH-p_12-q_12-o_8-lags_28-power_1-dist_skewt-mean_AR-vol_GARCH,8.804860830307007,3.718060304045567,1.7216669921225842
p01,ARCH-p_12-q_12-o_8-lags_28-power_1-dist_skewt-mean_HARX-vol_GARCH,8.223483562469482,3.810365797195065e+19,1.2637553663299473e+20
p01,ARCH-p_12-q_12-o_8-lags_8-power_1-dist_ged-mean_AR-vol_GARCH,3.888415098190308,3.5703049705663945,1.561119972131137
p01,ARCH-p_12-q_12-o_8-lags_8-power_1-dist_ged-mean_HARX-vol_GARCH,3.6963822841644287,3.5704085367476126,1.5611749467552611
p01,ARCH-p_12-q_12-o_8-lags_8-power_1-dist_normal-mean_AR-vol_GARCH,3.1177518367767334,3.5652905343617145,1.6504306601336596
p01,ARCH-p_12-q_12-o_8-lags_8-power_1-dist_normal-mean_HARX-vol_GARCH,3.066236019134521,3.571306503852869,1.650845850713331
p01,ARCH-p_12-q_12-o_8-lags_8-power_1-dist_skewt-mean_AR-vol_GARCH,4.988903999328613,3.489591667879186,1.5410745819962512
p01,ARCH-p_12-q_12-o_8-lags_8-power_1-dist_skewt-mean_HARX-vol_GARCH,5.216032981872559,3.4696329435435502,1.5465911796545235
p01,ARCH-p_12-q_4-o_4-lags_12-power_1-dist_ged-mean_AR-vol_GARCH,2.2374515533447266,3.6181463265059,1.598513934193398
p01,ARCH-p_12-q_4-o_4-lags_12-power_1-dist_ged-mean_HARX-vol_GARCH,2.237185001373291,3.6179038317319847,1.5988179862332363
p01,ARCH-p_12-q_4-o_4-lags_12-power_1-dist_normal-mean_AR-vol_GARCH,1.5730986595153809,3.636777010690909,1.6552595462246869
p01,ARCH-p_12-q_4-o_4-lags_12-power_1-dist_normal-mean_HARX-vol_GARCH,1.713310718536377,3.635197175518128,1.6531873171735814
p01,ARCH-p_12-q_4-o_4-lags_12-power_1-dist_skewt-mean_AR-vol_GARCH,3.032015562057495,3.5696171360854705,1.5615751260238673
p01,ARCH-p_12-q_4-o_4-lags_12-power_1-dist_skewt-mean_HARX-vol_GARCH,3.1834661960601807,3.5823768989397817,1.586507919824185
p01,ARCH-p_12-q_4-o_4-lags_16-power_1-dist_ged-mean_AR-vol_GARCH,2.600649833679199,3.64853412863024,1.60527388679965
p01,ARCH-p_12-q_4-o_4-lags_16-power_1-dist_ged-mean_HARX-vol_GARCH,2.350977897644043,3.6479754994460194,1.6051919971281263
p01,ARCH-p_12-q_4-o_4-lags_16-power_1-dist_normal-mean_AR-vol_GARCH,2.207185983657837,3.6781304741029657,1.6675065659895432
p01,ARCH-p_12-q_4-o_4-lags_16-power_1-dist_normal-mean_HARX-vol_GARCH,2.006154537200928,3.6751655260998457,1.6613452137450084
p01,ARCH-p_12-q_4-o_4-lags_16-power_1-dist_skewt-mean_AR-vol_GARCH,3.203920602798462,89673041528.19392,297411832547.0213
p01,ARCH-p_12-q_4-o_4-lags_16-power_1-dist_skewt-mean_HARX-vol_GARCH,3.5563085079193115,12.263775782542677,28.12486280920536
p01,ARCH-p_12-q_4-o_4-lags_20-power_1-dist_ged-mean_AR-vol_GARCH,3.8623993396759033,3.623068387570959,1.6128294130463552
p01,ARCH-p_12-q_4-o_4-lags_20-power_1-dist_ged-mean_HARX-vol_GARCH,2.680717706680298,3.621805988817171,1.612289509637768
p01,ARCH-p_12-q_4-o_4-lags_20-power_1-dist_normal-mean_AR-vol_GARCH,2.4988269805908203,3.649495413168674,1.707615400564555
p01,ARCH-p_12-q_4-o_4-lags_20-power_1-dist_normal-mean_HARX-vol_GARCH,2.269744634628296,3.666538334466336,1.7064320441553391
p01,ARCH-p_12-q_4-o_4-lags_20-power_1-dist_skewt-mean_AR-vol_GARCH,4.1805033683776855,5.316529345786139,5.237131891393714
p01,ARCH-p_12-q_4-o_4-lags_20-power_1-dist_skewt-mean_HARX-vol_GARCH,3.827223539352417,3.393388844744601e+109,1.1254597565795416e+110
p01,ARCH-p_12-q_4-o_4-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,3.988803148269653,3.636244322765675,1.6093103571624543
p01,ARCH-p_12-q_4-o_4-lags_24-power_1-dist_ged-mean_HARX-vol_GARCH,3.5156595706939697,3.636395729174265,1.6084137180040154
p01,ARCH-p_12-q_4-o_4-lags_24-power_1-dist_normal-mean_AR-vol_GARCH,2.749781370162964,3.638540758536387,1.6925595911321445
p01,ARCH-p_12-q_4-o_4-lags_24-power_1-dist_normal-mean_HARX-vol_GARCH,2.407956838607788,3.634838132223723,1.6813617410241892
p01,ARCH-p_12-q_4-o_4-lags_24-power_1-dist_skewt-mean_AR-vol_GARCH,4.5938560962677,672822197.5676925,2231498768.466269
p01,ARCH-p_12-q_4-o_4-lags_24-power_1-dist_skewt-mean_HARX-vol_GARCH,4.270442008972168,1.116260764290067e+80,3.702218123345502e+80
p01,ARCH-p_12-q_4-o_4-lags_28-power_1-dist_ged-mean_AR-vol_GARCH,4.21562385559082,3.659626366680373,1.6145580269849094
p01,ARCH-p_12-q_4-o_4-lags_28-power_1-dist_ged-mean_HARX-vol_GARCH,3.950239896774292,3.637224636606477,1.606158564527146
p01,ARCH-p_12-q_4-o_4-lags_28-power_1-dist_normal-mean_AR-vol_GARCH,3.319647312164306,3.7035422665461057,1.6977948968171015
p01,ARCH-p_12-q_4-o_4-lags_28-power_1-dist_normal-mean_HARX-vol_GARCH,2.99255633354187,3.694787783568944,1.697332341556224
p01,ARCH-p_12-q_4-o_4-lags_28-power_1-dist_skewt-mean_AR-vol_GARCH,4.98541522026062,3.756435664717186,1.7329388722612875
p01,ARCH-p_12-q_4-o_4-lags_28-power_1-dist_skewt-mean_HARX-vol_GARCH,4.573379993438721,inf,
p01,ARCH-p_12-q_4-o_4-lags_8-power_1-dist_ged-mean_AR-vol_GARCH,1.944920539855957,3.5753683003733427,1.5601622780564592
p01,ARCH-p_12-q_4-o_4-lags_8-power_1-dist_ged-mean_HARX-vol_GARCH,1.7948758602142334,3.5753352997919707,1.5601597208501028
p01,ARCH-p_12-q_4-o_4-lags_8-power_1-dist_normal-mean_AR-vol_GARCH,1.3820345401763916,3.5601636616004537,1.637491950608974
