validation_id,model_id,runtime_secs,PinballLoss_mean,PinballLoss_std
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,18.477442264556885,597497688189110.6,2062380004436236.8
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_GARCH,7.741759300231934,7.390790607621829e+81,2.560244968100772e+82
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_ged-mean_AR-vol_GARCH,12.496681451797484,6.438078063811422e+23,2.230212944576779e+24
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_GARCH,13.784889459609984,1.6937788005783202e+82,5.8674218787694474e+82
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_ged-mean_AR-vol_GARCH,16.542001247406006,26782173828.71403,92771793327.93073
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_ged-mean_HAR-vol_GARCH,12.668560981750488,2.5273499634916674e+55,8.754790261002058e+55
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,20.074683666229248,3004860632024833.0,1.0307017162861556e+16
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_ged-mean_HAR-vol_GARCH,18.235339879989624,1.1211442494117916e+147,3.883757605189794e+147
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_ged-mean_AR-vol_GARCH,24.62572479248047,7.468602485393351e+27,2.587199793247295e+28
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_ged-mean_HAR-vol_GARCH,28.05661082267761,2.8837326720618877e+149,9.989543006915095e+149
p02,ARCH-p_15-q_12-o_24-lags_48-power_1-dist_ged-mean_AR-vol_GARCH,26.751786708831787,5.8296724249762295e+51,2.0194577663084188e+52
p02,ARCH-p_15-q_12-o_24-lags_48-power_1-dist_ged-mean_HAR-vol_GARCH,15.082014799118042,3.1785675079415497e+52,1.101088083808471e+53
p02,ARCH-p_15-q_24-o_12-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,12.354021310806274,5.341741002004737e+16,1.8488075440760832e+17
p02,ARCH-p_15-q_24-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_GARCH,16.216423511505127,1.7654971037118745e+149,6.115861368489333e+149
p02,ARCH-p_15-q_24-o_12-lags_36-power_1-dist_ged-mean_AR-vol_GARCH,24.38066077232361,1.0696322652041231e+49,3.7053148574958967e+49
p02,ARCH-p_15-q_24-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_GARCH,25.786136627197266,7.98466712681159e+140,2.7659698290325363e+141
p02,ARCH-p_15-q_24-o_12-lags_48-power_1-dist_ged-mean_AR-vol_GARCH,28.51681137084961,8.858757109972343e+17,2.873415132773374e+18
