validation_id,model_id,runtime_secs,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_fold_11_test,MeanSquaredError_fold_12_test,MeanSquaredError_fold_13_test,MeanSquaredError_fold_14_test,MeanSquaredError_fold_15_test,MeanSquaredError_fold_16_test,MeanSquaredError_fold_17_test,MeanSquaredError_fold_18_test,MeanSquaredError_fold_19_test,MeanSquaredError_fold_20_test,MeanSquaredError_fold_21_test,MeanSquaredError_fold_22_test,MeanSquaredError_fold_23_test,MeanSquaredError_fold_24_test,MeanSquaredError_fold_25_test,MeanSquaredError_fold_26_test,MeanSquaredError_fold_27_test,MeanSquaredError_fold_28_test,MeanSquaredError_mean,MeanSquaredError_std
p01,AutoARIMA-start_p_2-max_p_72-start_q_2-max_q_72-seasonal_False-n_jobs_-1,150.86708736419678,4.456070797247565,2.7116842496139344,2.220293470974185,2.0605166718734145,3.950112700673373,3.868220673908784,1.0660323100665616,3.4925809575917848,2.8876552415592225,0.7618956121148304,2.4647917876311123,3.4592383000004365,2.5039983918422997,3.7024677356592735,7.535770411238163,2.6829388765381283,6.083998369953808,6.587890007444895,3.993532633903812,2.777399650760421,2.6648273788359713,1.9486380114090236,3.769806762942027,3.889576843096566,3.1594864675771084,2.706935419290246,2.858029518132262,1.7836202900894753,2.3868293075898612,3.2563737534330532,1.492466521802444
p01,AutoREG-lags_1-trend_c-seasonal_False,0.10199975967407227,5.19700934796664,1.4431576995416606,3.417718605397243,2.5337031401275745,4.78531770786368,4.326604368799096,2.5576068758323096,2.3395124479356637,2.045952529428009,1.8210586756629552,2.060414648544041,1.8590233390623863,2.6429778543701556,4.8826070495735285,9.134444660722709,4.374502468772748,6.868231985999897,10.696734238329247,4.554322674075437,5.094839420592929,3.6032166154938414,1.4931448701961167,4.493907254028137,4.518239449455503,3.942589849867021,3.748110717233381,1.6001988891319558,2.302183263411306,1.7448622802521443,3.7959376871609427,2.205312126089332
p01,AutoREG-lags_1-trend_ct-seasonal_False,0.10599994659423828,7.502446196230382,1.837616502876651,4.327574558484475,2.6574335980613606,4.780635611954524,4.559012497900417,3.0246175548057335,2.425410454480688,1.6837336650162817,2.316052394264976,2.0405622550579925,1.8563812483806152,2.6402066284694503,4.7834680392899465,9.1925626552801,4.504497437779682,6.941016501011076,10.825515449638193,4.555506567312973,5.172316156492471,3.6562356787024073,1.461035011545918,4.466396789813502,4.4518095832518565,3.983748209219922,3.7703312365688837,1.6059144094277056,2.517338496216472,1.8096237408395845,3.9775516940818703,2.2849911468930126
p01,AutoREG-lags_1-trend_n-seasonal_False,0.20505213737487793,5.197009347965949,1.4634882405168372,3.607690108634544,2.532339198065081,5.560909379399004,3.839074108108417,2.42286937787504,2.155027133534842,0.7821886465503094,4.320513690577577,2.05665825180298,2.1795580857082983,2.940852009398128,4.127924599254598,8.252340419591336,3.505210088925575,5.293076224991928,9.811605041053673,3.2135981362415396,3.915337535160329,2.0614373748863413,1.6935287571274633,4.012709505266266,3.9748139188825786,5.6322983850348045,3.1221913742009897,2.1339754234054467,1.570037735717736,1.7607428544391048,3.5565174121488523,2.0073493604192167
p01,AutoREG-lags_1-trend_t-seasonal_False,0.11102795600891113,7.502446196233478,1.4379826594962646,2.740886385203747,2.814061210426727,6.307904811323432,3.465810483448468,1.5524622860302175,2.726386158103933,0.97307993938587,5.354643503673545,2.5071751438854846,2.797151020099068,3.487654952572226,3.616782893025157,7.744863061254275,2.952438180404981,4.669290306794116,9.155142097105283,2.6547661053764613,3.2546707769842866,1.7120387752314834,2.23331749037312,3.883209929101674,4.014493131443725,6.1537801968801435,2.9511349057407856,2.638891720985872,1.460023817551345,2.113613575031905,3.616417300454037,2.0384124049547365
p01,AutoREG-lags_12-trend_c-seasonal_False,0.1130213737487793,3.929426828966452,2.2599886268100073,2.2562317026247514,3.102885178299749,4.336801075510153,4.3840122978446505,1.3218619700913243,4.613869313193414,3.6093924445533205,2.686784405032486,2.076327244494935,3.5445228884595177,2.5181849270854677,3.8791879798512285,7.026636327109989,2.7715085462833216,6.76915909503642,7.635800210245163,4.7975026072092275,3.610202929749404,4.549657443413418,1.4291570571153196,3.6507532988728317,4.888510080764551,3.3625654361769355,2.675108220868185,2.091939928880838,1.4762117249812883,2.5437295911901723,3.5792385993349836,1.6036780968981055
p01,AutoREG-lags_12-trend_ct-seasonal_False,0.1035161018371582,3.865562316190981,2.3349449232251493,2.642279951423652,2.982987011870441,4.34242530106196,4.651284045975718,1.2706461492688688,4.630730137059437,2.83107867531425,1.938532480948462,2.162054703755501,3.469155650916988,2.520979740563708,3.8921335963073416,7.30409876338558,2.9342910727731604,6.898651430696687,7.6385602094075775,4.5247718414965235,3.5268497485290546,4.4120034636584355,1.6279834762131176,3.618813116889774,4.729440754075575,3.370508988025409,2.643770778965012,2.093035880239932,1.448687328708289,2.42888359563184,3.5425912114682214,1.6364273871925574
p01,AutoREG-lags_12-trend_n-seasonal_False,0.11751413345336914,3.9294268289667578,1.5998786390571604,2.2709302608212463,3.1605865470515244,5.238052399584895,3.6552577872736194,1.1862816668692857,2.332213547566284,1.2083060690673098,1.5969527902584773,2.923649982139699,4.806766246214714,3.3593022956978302,3.1772665560910407,5.73824668913648,2.2956529809064654,3.9816084486915013,6.138909622379704,2.633898490330179,1.9829109261149636,1.826457063875437,3.148590536112597,4.062167383632908,4.526737322099469,4.925843863529478,3.136058839082375,4.048180446212942,2.852835541621297,4.174772583855314,3.3075083570427917,1.3294410324052517
p01,AutoREG-lags_12-trend_t-seasonal_False,0.1139988899230957,3.865562316190622,4.3278633380817615,2.8775392733396283,5.39948406114866,6.421523730766084,3.6016894795350005,2.6170686740953837,2.3457199166019183,1.1088815227990465,3.1434840300533735,4.381415625812055,6.16816134096497,4.385415756352553,3.326787054773759,5.312122309789335,2.6227662593047416,3.0458040683030783,5.14727212195897,2.1045446262918537,1.7751554905729776,1.462573272373671,4.521208313801613,4.813315986970264,5.071781980080836,5.856760426274426,4.055353468525558,5.183558229202578,3.790109468527138,5.256468302713135,3.9306686360415504,1.4367497867270365
p01,AutoREG-lags_16-trend_c-seasonal_False,0.10800027847290039,3.160128138661264,2.263326678578475,2.305005762802766,3.0521123053060615,4.2159002377076655,4.405485836643599,1.2804827668908567,4.636626427066324,3.6060575266997277,2.690936829691405,2.121958419375058,3.7117598401478955,2.4843886849418477,3.9244599006166054,6.98153351368062,2.725961292709772,6.816514511560045,7.5744677702120935,4.991879656093134,3.6092689266870863,4.709765932264449,1.4327215160263882,3.6998454281810758,4.882269069897726,3.3440380562279954,2.66315059764063,2.114077419574599,1.472062584158649,2.410442708022793,3.561607873726435,1.6116384389712695
