dataset,dataset_label,model,metric,point,lo,hi,n,unit
aleppo_2017,Replace-BG,chronos2,rmse,2.6090161564291767,2.550996322707542,2.668952827449605,4243,episode
aleppo_2017,Replace-BG,chronos2,wql,0.7377425591724988,0.7238768557298404,0.7522805492611403,4243,episode
aleppo_2017,Replace-BG,chronos2,auroc,0.7558584154261596,0.7379541375989878,0.773530643029192,4243,episode
aleppo_2017,Replace-BG,chronos2,auprc,0.5885607442284909,0.5587483457615076,0.6172179578585656,4243,episode
aleppo_2017,Replace-BG,tft,rmse,2.617969063329428,2.5603565921664835,2.6779768375372615,4243,episode
aleppo_2017,Replace-BG,tft,wql,0.7423169226880527,0.7286487923942446,0.756715929185029,4243,episode
aleppo_2017,Replace-BG,tft,auroc,0.7527997329517675,0.7348029685230332,0.7701256721291008,4243,episode
aleppo_2017,Replace-BG,tft,auprc,0.5814608819788638,0.5521347629548713,0.6102637773808682,4243,episode
aleppo_2017,Replace-BG,patchtst,rmse,2.6788574107356498,2.622170717546847,2.7365400737955503,4243,episode
aleppo_2017,Replace-BG,patchtst,wql,0.7701586201114765,0.7563697207680762,0.7845532409137873,4243,episode
aleppo_2017,Replace-BG,patchtst,auroc,0.7461589403181865,0.7282453503518294,0.7634505650201202,4243,episode
aleppo_2017,Replace-BG,patchtst,auprc,0.5758304655970635,0.5462338691830821,0.6046462075693456,4243,episode
aleppo_2017,Replace-BG,timesfm,rmse,2.709180319063102,2.650661049774205,2.769382182497908,4243,episode
aleppo_2017,Replace-BG,timesfm,wql,0.7704087679860927,0.7557982865735975,0.7853949326945241,4243,episode
aleppo_2017,Replace-BG,timesfm,auroc,0.7538821509216989,0.7360233358673923,0.771318207350333,4243,episode
aleppo_2017,Replace-BG,timesfm,auprc,0.5835200858947315,0.5542239146623729,0.6122157233054274,4243,episode
aleppo_2017,Replace-BG,ttm,rmse,2.76942815365647,2.7135125602352343,2.826963651471607,4243,episode
aleppo_2017,Replace-BG,ttm,wql,,,,4243,episode
aleppo_2017,Replace-BG,ttm,auroc,0.7428543080952432,0.7246553938986929,0.760394974055877,4243,episode
aleppo_2017,Replace-BG,ttm,auprc,0.5664401656218402,0.5366629724446478,0.5955314008851685,4243,episode
aleppo_2017,Replace-BG,moirai,rmse,2.7068508205244677,2.6472189613585306,2.768072948741149,4243,episode
aleppo_2017,Replace-BG,moirai,wql,0.7779899483073596,0.763161624705054,0.7932636556513337,4243,episode
aleppo_2017,Replace-BG,moirai,auroc,0.7515160426177422,0.7334495135163616,0.7688761953169209,4243,episode
aleppo_2017,Replace-BG,moirai,auprc,0.5788544827171105,0.5492939685419189,0.6079506739881727,4243,episode
aleppo_2017,Replace-BG,toto,rmse,2.8642400088810027,2.8041036226771077,2.9271151813555205,4243,episode
aleppo_2017,Replace-BG,toto,wql,0.819714381647949,0.8043781638284956,0.8355786560925832,4243,episode
aleppo_2017,Replace-BG,toto,auroc,0.7334412762849454,0.7143120546944386,0.7516925874205069,4243,episode
aleppo_2017,Replace-BG,toto,auprc,0.5749811228136148,0.5445542956387045,0.604432527618688,4243,episode
aleppo_2017,Replace-BG,deepar,rmse,2.8621463680680312,2.7981592186665316,2.927444672159814,4243,episode
aleppo_2017,Replace-BG,deepar,wql,0.847248657580568,0.8348229784407298,0.8603068783235298,4243,episode
aleppo_2017,Replace-BG,deepar,auroc,0.7437093047302443,0.7254078261350217,0.7615388225278692,4243,episode
aleppo_2017,Replace-BG,deepar,auprc,0.574053052937,0.5443689214077745,0.6034315946047768,4243,episode
aleppo_2017,Replace-BG,tide,rmse,2.7360261671986024,2.677781104300723,2.796479085679131,4243,episode
aleppo_2017,Replace-BG,tide,wql,0.7868957158582055,0.7718027751050035,0.8025679774809853,4243,episode
aleppo_2017,Replace-BG,tide,auroc,0.730011129001988,0.7115132186480364,0.7482804880403777,4243,episode
aleppo_2017,Replace-BG,tide,auprc,0.5534714653675449,0.5235356967440212,0.5830270215359008,4243,episode
brown_2019,DCLP3,chronos2,rmse,2.4321334886428674,2.372035305761399,2.4930514064573326,3809,episode
brown_2019,DCLP3,chronos2,wql,0.6686911535586176,0.6545124992998099,0.6831593468653073,3809,episode
brown_2019,DCLP3,chronos2,auroc,0.7033529606932103,0.6755609189956483,0.7301568355712514,3809,episode
brown_2019,DCLP3,chronos2,auprc,0.38535853315781704,0.3432708621122682,0.4280956023654304,3809,episode
brown_2019,DCLP3,tft,rmse,2.48997087742784,2.4262218984852693,2.552701535560681,3809,episode
brown_2019,DCLP3,tft,wql,0.6813321134910315,0.6661629296434574,0.6966598201491175,3809,episode
brown_2019,DCLP3,tft,auroc,0.6969728853251811,0.6691938833594625,0.7239552562332553,3809,episode
brown_2019,DCLP3,tft,auprc,0.3803774357787679,0.33802270105473753,0.42344098264761626,3809,episode
brown_2019,DCLP3,patchtst,rmse,2.4769043427044197,2.421382524519983,2.5331062503012105,3809,episode
brown_2019,DCLP3,patchtst,wql,0.7093885463921249,0.6960831485159433,0.7230178324555978,3809,episode
brown_2019,DCLP3,patchtst,auroc,0.6937008697403431,0.6665026346875722,0.7205595565678479,3809,episode
brown_2019,DCLP3,patchtst,auprc,0.3622151266878155,0.32049599133130446,0.40511956434935825,3809,episode
brown_2019,DCLP3,timesfm,rmse,2.488437184996495,2.4327558871224357,2.5457461218725883,3809,episode
brown_2019,DCLP3,timesfm,wql,0.7095170282088589,0.695931676131043,0.7233154873053973,3809,episode
brown_2019,DCLP3,timesfm,auroc,0.7012060433850289,0.673642455999942,0.7279509823788921,3809,episode
brown_2019,DCLP3,timesfm,auprc,0.3728451515090496,0.33105839073690874,0.4152134269738771,3809,episode
brown_2019,DCLP3,ttm,rmse,2.5458231085058505,2.4917322435642477,2.6014656810509647,3809,episode
brown_2019,DCLP3,ttm,wql,,,,3809,episode
brown_2019,DCLP3,ttm,auroc,0.6848550023947875,0.6575058607622719,0.7120896804098109,3809,episode
brown_2019,DCLP3,ttm,auprc,0.3524728196684013,0.3104933995193239,0.39532774459453984,3809,episode
brown_2019,DCLP3,moirai,rmse,2.520496479025085,2.463071226484091,2.578263498486684,3809,episode
brown_2019,DCLP3,moirai,wql,0.7132536822472002,0.6986549354308308,0.7280589463802628,3809,episode
brown_2019,DCLP3,moirai,auroc,0.6976651790152065,0.6704346340302383,0.7245420141348939,3809,episode
brown_2019,DCLP3,moirai,auprc,0.36867650591280504,0.32542380005172106,0.41247916464024087,3809,episode
brown_2019,DCLP3,toto,rmse,2.6797831701154142,2.625866137299009,2.7337601038122803,3809,episode
brown_2019,DCLP3,toto,wql,0.781310182739559,0.767996331261876,0.7949294945436962,3809,episode
brown_2019,DCLP3,toto,auroc,0.7039145415886155,0.6771990664733932,0.730126064448723,3809,episode
