dataset,dataset_label,model,score,n,n_hypo,base_rate,operating_point,thr,tp,fp,fn,tn,sens,spec,ppv,npv,fp_per100,alarms_per100
aleppo_2017,Replace-BG,chronos2,prob,4243,1047,0.2467593683714353,sens90,0.1,1047,3196,0,0,1.0,0.0,0.2467593683714353,,75.32406316285648,100.0
aleppo_2017,Replace-BG,chronos2,prob,4243,1047,0.2467593683714353,sens80,0.1,1047,3196,0,0,1.0,0.0,0.2467593683714353,,75.32406316285648,100.0
aleppo_2017,Replace-BG,chronos2,prob,4243,1047,0.2467593683714353,youden,0.11991685080396075,575,568,472,2628,0.5491881566380133,0.8222778473091364,0.5030621172353456,0.847741935483871,13.38675465472543,26.938486919632336
aleppo_2017,Replace-BG,moirai,prob,4243,1047,0.2467593683714353,sens90,0.10608414214944716,943,2312,104,884,0.9006685768863419,0.2765957446808511,0.28970814132104455,0.8947368421052632,54.48974781993872,76.71458873438604
aleppo_2017,Replace-BG,moirai,prob,4243,1047,0.2467593683714353,sens80,0.13929910179628283,838,1737,209,1459,0.8003820439350525,0.4565081351689612,0.32543689320388347,0.8747002398081535,40.93801555503182,60.68819231675701
aleppo_2017,Replace-BG,moirai,prob,4243,1047,0.2467593683714353,youden,0.19875046647347444,610,758,437,2438,0.5826170009551098,0.762828535669587,0.44590643274853803,0.848,17.86471835965119,32.24133867546547
aleppo_2017,Replace-BG,toto,prob,4243,1047,0.2467593683714353,sens90,0.1,1047,3196,0,0,1.0,0.0,0.2467593683714353,,75.32406316285648,100.0
aleppo_2017,Replace-BG,toto,prob,4243,1047,0.2467593683714353,sens80,0.12786763794524528,838,1683,209,1513,0.8003820439350525,0.4734042553191489,0.3324077746925823,0.8786295005807201,39.66533113363187,59.41550789535706
aleppo_2017,Replace-BG,toto,prob,4243,1047,0.2467593683714353,youden,0.21500688018874983,597,713,450,2483,0.5702005730659025,0.7769086357947435,0.45572519083969465,0.8465734742584384,16.804148008484564,30.874381333961818
aleppo_2017,Replace-BG,patchtst,prob,4243,1047,0.2467593683714353,sens90,0.1,1047,3196,0,0,1.0,0.0,0.2467593683714353,,75.32406316285648,100.0
aleppo_2017,Replace-BG,patchtst,prob,4243,1047,0.2467593683714353,sens80,0.1,1047,3196,0,0,1.0,0.0,0.2467593683714353,,75.32406316285648,100.0
aleppo_2017,Replace-BG,patchtst,prob,4243,1047,0.2467593683714353,youden,0.1297834779666329,616,727,431,2469,0.5883476599808978,0.7725281602002503,0.45867460908414,0.8513793103448276,17.134103228847515,31.652132924817348
aleppo_2017,Replace-BG,tft,prob,4243,1047,0.2467593683714353,sens90,0.1,1047,3196,0,0,1.0,0.0,0.2467593683714353,,75.32406316285648,100.0
aleppo_2017,Replace-BG,tft,prob,4243,1047,0.2467593683714353,sens80,0.1,1047,3196,0,0,1.0,0.0,0.2467593683714353,,75.32406316285648,100.0
aleppo_2017,Replace-BG,tft,prob,4243,1047,0.2467593683714353,youden,0.1173241123719703,561,582,486,2614,0.5358166189111748,0.8178973717146433,0.49081364829396323,0.8432258064516129,13.71670987508838,26.938486919632336
aleppo_2017,Replace-BG,deepar,prob,4243,1047,0.2467593683714353,sens90,0.13634304626841964,943,2355,104,841,0.9006685768863419,0.26314142678347935,0.2859308671922377,0.8899470899470899,55.5031817110535,77.72802262550083
aleppo_2017,Replace-BG,deepar,prob,4243,1047,0.2467593683714353,sens80,0.15522833296789001,838,1765,209,1431,0.8003820439350525,0.447747183979975,0.3219362274298886,0.8725609756097561,41.59792599575772,61.34810275748291
aleppo_2017,Replace-BG,deepar,prob,4243,1047,0.2467593683714353,youden,0.1975322444118432,616,820,431,2376,0.5883476599808978,0.7434292866082604,0.42896935933147634,0.8464552903455647,19.325948621258544,33.84397831722838
brown_2019,DCLP3,chronos2,prob,3809,463,0.12155421370438435,sens90,0.1,463,3346,0,0,1.0,0.0,0.12155421370438435,,87.84457862956157,100.0
brown_2019,DCLP3,chronos2,prob,3809,463,0.12155421370438435,sens80,0.1,463,3346,0,0,1.0,0.0,0.12155421370438435,,87.84457862956157,100.0
brown_2019,DCLP3,chronos2,prob,3809,463,0.12155421370438435,youden,0.10006168906905764,169,250,294,3096,0.3650107991360691,0.9252839210998207,0.4033412887828162,0.9132743362831859,6.563402467839328,11.000262536098713
brown_2019,DCLP3,moirai,prob,3809,463,0.12155421370438435,sens90,0.1,463,3346,0,0,1.0,0.0,0.12155421370438435,,87.84457862956157,100.0
brown_2019,DCLP3,moirai,prob,3809,463,0.12155421370438435,sens80,0.11221729023648966,371,1768,92,1578,0.8012958963282938,0.47160789001793185,0.1734455352968677,0.9449101796407186,46.41638225255973,56.15647151483329
brown_2019,DCLP3,moirai,prob,3809,463,0.12155421370438435,youden,0.1471718145270849,285,950,178,2396,0.6155507559395248,0.7160789001793186,0.23076923076923078,0.9308469308469308,24.940929377789445,32.42320819112628
brown_2019,DCLP3,toto,prob,3809,463,0.12155421370438435,sens90,0.10748333375022019,417,2290,46,1056,0.9006479481641468,0.31560071727435746,0.15404506834133727,0.9582577132486388,60.12076660540824,71.06852192176424
brown_2019,DCLP3,toto,prob,3809,463,0.12155421370438435,sens80,0.12962545567680378,371,1816,92,1530,0.8012958963282938,0.4572624028690974,0.16963877457704618,0.9432799013563502,47.67655552638488,57.41664478865844
brown_2019,DCLP3,toto,prob,3809,463,0.12155421370438435,youden,0.16098231158043153,296,1140,167,2206,0.6393088552915767,0.6592946802151823,0.20612813370473537,0.9296249473240624,29.929115253347334,37.700183775269096
brown_2019,DCLP3,patchtst,prob,3809,463,0.12155421370438435,sens90,0.1,463,3346,0,0,1.0,0.0,0.12155421370438435,,87.84457862956157,100.0
brown_2019,DCLP3,patchtst,prob,3809,463,0.12155421370438435,sens80,0.1,463,3346,0,0,1.0,0.0,0.12155421370438435,,87.84457862956157,100.0
brown_2019,DCLP3,patchtst,prob,3809,463,0.12155421370438435,youden,0.10083269891611808,295,983,168,2363,0.6371490280777538,0.706216377764495,0.23082942097026604,0.9336230738838404,25.80729850354424,33.55211341559465
brown_2019,DCLP3,tft,prob,3809,463,0.12155421370438435,sens90,0.1,463,3346,0,0,1.0,0.0,0.12155421370438435,,87.84457862956157,100.0
brown_2019,DCLP3,tft,prob,3809,463,0.12155421370438435,sens80,0.1,463,3346,0,0,1.0,0.0,0.12155421370438435,,87.84457862956157,100.0
brown_2019,DCLP3,tft,prob,3809,463,0.12155421370438435,youden,0.10168660172170306,162,233,301,3113,0.34989200863930886,0.9303646144650328,0.41012658227848103,0.9118336262448741,6.117091100026253,10.370175899186139
brown_2019,DCLP3,deepar,prob,3809,463,0.12155421370438435,sens90,0.13231854427321507,417,2649,46,697,0.9006479481641468,0.20830842797369994,0.1360078277886497,0.9380888290713324,69.54581254922552,80.49356786558151
brown_2019,DCLP3,deepar,prob,3809,463,0.12155421370438435,sens80,0.14696078348894864,371,2111,92,1235,0.8012958963282938,0.3690974297668858,0.14947622884770345,0.9306706857573473,55.42137043843528,65.16145970070885
brown_2019,DCLP3,deepar,prob,3809,463,0.12155421370438435,youden,0.19453973394630097,255,876,208,2470,0.550755939524838,0.7381948595337716,0.22546419098143236,0.9223300970873787,22.998162247309004,29.69283276450512
lynch_2022,IOBP2,chronos2,prob,2928,597,0.2038934426229508,sens90,0.1,597,2331,0,0,1.0,0.0,0.2038934426229508,,79.61065573770492,100.0
lynch_2022,IOBP2,chronos2,prob,2928,597,0.2038934426229508,sens80,0.1,597,2331,0,0,1.0,0.0,0.2038934426229508,,79.61065573770492,100.0
