dataset,hour,bolus_units,n_bolus,n_carb
aleppo_2017,0,51064.54000000002,487194.0,1225.0
aleppo_2017,1,48267.18,491327.0,749.0
aleppo_2017,2,46912.50999999999,493221.0,496.0
aleppo_2017,3,46731.56000000001,493587.0,365.0
aleppo_2017,4,49505.0,493044.0,668.0
aleppo_2017,5,59208.38000000001,487418.0,2021.0
aleppo_2017,6,67968.21000000002,481547.0,4157.0
aleppo_2017,7,84924.86000000007,474361.0,7545.0
aleppo_2017,8,87730.65999999997,469588.0,8260.0
aleppo_2017,9,82743.63999999998,467775.0,7144.0
aleppo_2017,10,75466.59999999999,468599.0,5938.0
aleppo_2017,11,90262.78999999994,471098.0,8024.0
aleppo_2017,12,118735.22999999994,475166.0,13785.0
aleppo_2017,13,94304.44999999995,476889.0,9666.0
aleppo_2017,14,79651.35000000002,477915.0,6771.0
aleppo_2017,15,73836.96000000008,476996.0,5663.0
aleppo_2017,16,72961.05999999997,475722.0,5196.0
aleppo_2017,17,93800.73999999993,472446.0,7847.0
aleppo_2017,18,119596.49,470561.0,12123.0
aleppo_2017,19,116921.04000000002,468407.0,12343.0
aleppo_2017,20,96605.70000000001,467334.0,9424.0
aleppo_2017,21,84783.28,468379.0,7146.0
aleppo_2017,22,73075.55999999994,473566.0,4515.0
aleppo_2017,23,61601.84000000002,472769.0,2578.0
brown_2019,0,8602.162102414297,4056.0,0.0
brown_2019,1,5548.091457876374,2925.0,0.0
brown_2019,2,4192.161726002443,2335.0,0.0
brown_2019,3,3306.8505309357533,1879.0,0.0
brown_2019,4,3052.4189760246513,1644.0,0.0
brown_2019,5,4005.016948840201,1864.0,0.0
brown_2019,6,12366.480262370993,4037.0,0.0
brown_2019,7,28808.289417465963,7685.0,0.0
brown_2019,8,29730.731794091942,9407.0,0.0
brown_2019,9,29975.97835092909,10102.0,0.0
brown_2019,10,30132.194795883872,10407.0,0.0
brown_2019,11,39861.291724765615,11751.0,0.0
brown_2019,12,48141.92571980298,13234.0,0.0
brown_2019,13,40825.54130726258,13356.0,0.0
brown_2019,14,33032.936473204696,12450.0,0.0
brown_2019,15,33572.37522259814,12218.0,0.0
brown_2019,16,31544.0852450855,11596.0,0.0
brown_2019,17,39469.490031711706,12497.0,0.0
brown_2019,18,53505.30674299002,14411.0,0.0
brown_2019,19,54321.288114511706,14756.0,0.0
brown_2019,20,45395.91561457074,14276.0,0.0
brown_2019,21,35957.42578845583,13101.0,0.0
brown_2019,22,25798.84191277045,10692.0,0.0
brown_2019,23,16227.929918997123,6911.0,0.0
lynch_2022,0,50849.67999999998,233205.0,0.0
lynch_2022,1,45900.56999999999,236989.0,0.0
lynch_2022,2,41136.150000000016,238396.0,0.0
lynch_2022,3,38250.40000000001,240853.0,0.0
lynch_2022,4,36315.659999999996,243171.0,0.0
lynch_2022,5,35885.98999999997,243191.0,0.0
lynch_2022,6,40909.76000000001,240723.0,0.0
lynch_2022,7,53243.01000000001,239783.0,0.0
lynch_2022,8,65014.989999999954,240655.0,0.0
lynch_2022,9,65593.53,237188.0,0.0
lynch_2022,10,61571.52999999999,229062.0,0.0
lynch_2022,11,66767.07999999999,223681.0,0.0
lynch_2022,12,85081.46999999999,220090.0,0.0
lynch_2022,13,76988.61999999998,221290.0,0.0
lynch_2022,14,70150.54999999997,220989.0,0.0
lynch_2022,15,66489.98,217015.0,0.0
lynch_2022,16,63470.369999999966,211811.0,0.0
lynch_2022,17,71459.02000000002,206934.0,0.0
lynch_2022,18,82972.33000000003,204407.0,0.0
lynch_2022,19,84010.97000000004,206067.0,0.0
lynch_2022,20,78125.21999999999,209539.0,0.0
lynch_2022,21,70954.45999999996,214586.0,0.0
lynch_2022,22,63714.70999999994,220736.0,0.0
lynch_2022,23,57326.05999999998,227938.0,0.0
tamborlane_2008,0,0.0,0.0,0.0
tamborlane_2008,1,0.0,0.0,0.0
tamborlane_2008,2,0.0,0.0,0.0
tamborlane_2008,3,0.0,0.0,0.0
tamborlane_2008,4,0.0,0.0,0.0
tamborlane_2008,5,0.0,0.0,0.0
tamborlane_2008,6,0.0,0.0,0.0
tamborlane_2008,7,0.0,0.0,0.0
tamborlane_2008,8,0.0,0.0,0.0
tamborlane_2008,9,0.0,0.0,0.0
tamborlane_2008,10,0.0,0.0,0.0
tamborlane_2008,11,0.0,0.0,0.0
tamborlane_2008,12,0.0,0.0,0.0
tamborlane_2008,13,0.0,0.0,0.0
tamborlane_2008,14,0.0,0.0,0.0
tamborlane_2008,15,0.0,0.0,0.0
tamborlane_2008,16,0.0,0.0,0.0
tamborlane_2008,17,0.0,0.0,0.0
tamborlane_2008,18,0.0,0.0,0.0
tamborlane_2008,19,0.0,0.0,0.0
tamborlane_2008,20,0.0,0.0,0.0
tamborlane_2008,21,0.0,0.0,0.0
tamborlane_2008,22,0.0,0.0,0.0
tamborlane_2008,23,0.0,0.0,0.0
