dataset,dataset_label,model,subset,n,n_hypo,base_rate,rmse,auroc,auprc
aleppo_2017,Replace-BG,chronos2,full,4243,1047,0.2467593683714353,2.6090161564291767,0.7558584154261596,0.5885607442284909
aleppo_2017,Replace-BG,chronos2,active,4194,1032,0.24606580829756797,2.605576914708028,0.7561689748417496,0.5880950635691229
aleppo_2017,Replace-BG,moirai,full,4243,1047,0.2467593683714353,2.7068508205244677,0.7515160426177422,0.5788544827171105
aleppo_2017,Replace-BG,moirai,active,4194,1032,0.24606580829756797,2.7057297455297364,0.7519058073341864,0.5785422172562066
aleppo_2017,Replace-BG,toto,full,4243,1047,0.2467593683714353,2.8642400088810027,0.7334412762849454,0.5749811228136148
aleppo_2017,Replace-BG,toto,active,4194,1032,0.24606580829756797,2.8648908332357164,0.7339592251003928,0.5753865716274201
aleppo_2017,Replace-BG,patchtst,full,4243,1047,0.2467593683714353,2.6788574107356498,0.7461589403181865,0.5758304655970635
aleppo_2017,Replace-BG,patchtst,active,4194,1032,0.24606580829756797,2.6775599766427605,0.7462279172734361,0.5753793369204538
aleppo_2017,Replace-BG,tft,full,4243,1047,0.2467593683714353,2.617969063329428,0.7527997329517675,0.5814608819788638
aleppo_2017,Replace-BG,tft,active,4194,1032,0.24606580829756797,2.61674042732485,0.7532252241982064,0.5813317742220092
brown_2019,DCLP3,chronos2,full,3809,463,0.12155421370438435,2.4321334886428674,0.7033529606932103,0.38535853315781704
brown_2019,DCLP3,chronos2,quiescent,2036,291,0.14292730844793713,2.4161412334771306,0.6980641794424916,0.41134832522545045
brown_2019,DCLP3,chronos2,active,1773,172,0.09701071630005641,2.45036923216249,0.7113795157096583,0.3496690962377312
brown_2019,DCLP3,moirai,full,3809,463,0.12155421370438435,2.520496479025085,0.6976651790152065,0.36867650591280504
brown_2019,DCLP3,moirai,quiescent,2036,291,0.14292730844793713,2.516042999706395,0.6897655549975876,0.3955412789801322
brown_2019,DCLP3,moirai,active,1773,172,0.09701071630005641,2.525600883662962,0.7088120796595151,0.33427464377996274
brown_2019,DCLP3,toto,full,3809,463,0.12155421370438435,2.6797831701154142,0.7039145415886155,0.37930753275703666
brown_2019,DCLP3,toto,quiescent,2036,291,0.14292730844793713,2.688212633974823,0.6996504494924133,0.4055783892459796
brown_2019,DCLP3,toto,active,1773,172,0.09701071630005641,2.6700704861762143,0.7051188937146842,0.3408717679611235
brown_2019,DCLP3,patchtst,full,3809,463,0.12155421370438435,2.4769043427044197,0.6937008697403431,0.3622151266878155
brown_2019,DCLP3,patchtst,quiescent,2036,291,0.14292730844793713,2.4834886194958368,0.686686556582873,0.3883869769552199
brown_2019,DCLP3,patchtst,active,1773,172,0.09701071630005641,2.4693217236399927,0.6992686257135803,0.32510742001882653
brown_2019,DCLP3,tft,full,3809,463,0.12155421370438435,2.48997087742784,0.6969728853251811,0.3803774357787679
brown_2019,DCLP3,tft,quiescent,2036,291,0.14292730844793713,2.4228293558719507,0.6876672673027502,0.40576172553516276
brown_2019,DCLP3,tft,active,1773,172,0.09701071630005641,2.5649048639323437,0.714546141219877,0.34449553598463734
lynch_2022,IOBP2,chronos2,full,2928,597,0.2038934426229508,2.24831094065991,0.6701015444734038,0.44016488439114265
lynch_2022,IOBP2,chronos2,active,2928,597,0.2038934426229508,2.24831094065991,0.6701015444734038,0.44016488439114265
lynch_2022,IOBP2,moirai,full,2928,597,0.2038934426229508,2.4346712096570453,0.6558999775080177,0.4213390492838258
lynch_2022,IOBP2,moirai,active,2928,597,0.2038934426229508,2.4346712096570453,0.6558999775080177,0.4213390492838258
lynch_2022,IOBP2,toto,full,2928,597,0.2038934426229508,2.5706321735284234,0.634863866019645,0.39897561558112593
lynch_2022,IOBP2,toto,active,2928,597,0.2038934426229508,2.5706321735284234,0.634863866019645,0.39897561558112593
lynch_2022,IOBP2,patchtst,full,2928,597,0.2038934426229508,2.451244781091121,0.5797455747204491,0.3674607798540437
lynch_2022,IOBP2,patchtst,active,2928,597,0.2038934426229508,2.451244781091121,0.5797455747204491,0.3674607798540437
lynch_2022,IOBP2,tft,full,2928,597,0.2038934426229508,2.384860206527764,0.6449216625096023,0.40773262166077173
lynch_2022,IOBP2,tft,active,2928,597,0.2038934426229508,2.384860206527764,0.6449216625096023,0.40773262166077173
tamborlane_2008,Tamborlane,chronos2,full,10782,4152,0.3850862548692265,3.2697369002867704,0.6797354198089494,0.6103448576116877
tamborlane_2008,Tamborlane,chronos2,quiescent,10782,4152,0.3850862548692265,3.2697369002867704,0.6797354198089494,0.6103448576116877
tamborlane_2008,Tamborlane,moirai,full,10782,4152,0.3850862548692265,3.3417852662528666,0.6753886077181726,0.5979191790376249
tamborlane_2008,Tamborlane,moirai,quiescent,10782,4152,0.3850862548692265,3.3417852662528666,0.6753886077181726,0.5979191790376249
tamborlane_2008,Tamborlane,toto,full,10782,4152,0.3850862548692265,3.3397985154988477,0.6882603415606646,0.6130789572155273
tamborlane_2008,Tamborlane,toto,quiescent,10782,4152,0.3850862548692265,3.3397985154988477,0.6882603415606646,0.6130789572155273
