dataset,dataset_label,model,window,window_start,window_end,n,auroc,rmse
aleppo_2017,Replace-BG,chronos2,full (00:00-08:00),0,8,4243,0.7558584154261596,2.6090161564291767
aleppo_2017,Replace-BG,moirai,full (00:00-08:00),0,8,4243,0.7515160426177422,2.7068508205244677
aleppo_2017,Replace-BG,toto,full (00:00-08:00),0,8,4243,0.7334412762849454,2.8642400088810027
aleppo_2017,Replace-BG,patchtst,full (00:00-08:00),0,8,4243,0.7461589403181865,2.6788574107356498
aleppo_2017,Replace-BG,tft,full (00:00-08:00),0,8,4243,0.7527997329517675,2.617969063329428
aleppo_2017,Replace-BG,chronos2,00:00-02:00,0,2,4243,0.6921893600200435,1.5766222621926327
aleppo_2017,Replace-BG,moirai,00:00-02:00,0,2,4243,0.6690843817058082,1.696328295738195
aleppo_2017,Replace-BG,toto,00:00-02:00,0,2,4243,0.7410303626669921,1.7292696413184536
aleppo_2017,Replace-BG,patchtst,00:00-02:00,0,2,4243,0.6610948552616377,1.6805071381030063
aleppo_2017,Replace-BG,tft,00:00-02:00,0,2,4243,0.6719783051481136,1.611453730476248
aleppo_2017,Replace-BG,chronos2,02:00-04:00,2,4,4243,0.5116473348534417,2.6851222725989548
aleppo_2017,Replace-BG,moirai,02:00-04:00,2,4,4243,0.5131925580780543,2.8255258169139332
aleppo_2017,Replace-BG,toto,02:00-04:00,2,4,4243,0.563729883348204,2.937271694189306
aleppo_2017,Replace-BG,patchtst,02:00-04:00,2,4,4243,0.5,2.8002418925813783
aleppo_2017,Replace-BG,tft,02:00-04:00,2,4,4243,0.508135223555071,2.6948714914984944
aleppo_2017,Replace-BG,chronos2,04:00-06:00,4,6,4243,0.5007712965237874,3.020523303325933
aleppo_2017,Replace-BG,moirai,04:00-06:00,4,6,4243,0.5031029100247768,3.11669237016375
aleppo_2017,Replace-BG,toto,04:00-06:00,4,6,4243,0.5025192426870455,3.258315945641301
aleppo_2017,Replace-BG,patchtst,04:00-06:00,4,6,4243,0.5,3.0881342484280943
aleppo_2017,Replace-BG,tft,04:00-06:00,4,6,4243,0.5,3.0132000833649975
aleppo_2017,Replace-BG,chronos2,06:00-08:00,6,8,4243,0.5,2.899772545502577
aleppo_2017,Replace-BG,moirai,06:00-08:00,6,8,4243,0.49986602357984994,2.9552103646085497
aleppo_2017,Replace-BG,toto,06:00-08:00,6,8,4243,0.5081332339128666,3.252832921378971
aleppo_2017,Replace-BG,patchtst,06:00-08:00,6,8,4243,0.5,2.9160034419931318
aleppo_2017,Replace-BG,tft,06:00-08:00,6,8,4243,0.5,2.911452874880836
brown_2019,DCLP3,chronos2,full (00:00-08:00),0,8,3809,0.7033529606932103,2.4321334886428674
brown_2019,DCLP3,moirai,full (00:00-08:00),0,8,3809,0.6976651790152065,2.520496479025085
brown_2019,DCLP3,toto,full (00:00-08:00),0,8,3809,0.7039145415886155,2.6797831701154142
brown_2019,DCLP3,patchtst,full (00:00-08:00),0,8,3809,0.6937008697403431,2.4769043427044197
brown_2019,DCLP3,tft,full (00:00-08:00),0,8,3809,0.6969728853251811,2.48997087742784
brown_2019,DCLP3,chronos2,00:00-02:00,0,2,3809,0.6195840472111175,1.7066209847347904
brown_2019,DCLP3,moirai,00:00-02:00,0,2,3809,0.5971261320062006,1.8376103555979628
brown_2019,DCLP3,toto,00:00-02:00,0,2,3809,0.6072720350276034,1.8272372232399454
brown_2019,DCLP3,patchtst,00:00-02:00,0,2,3809,0.623174512523456,1.7592492018947845
brown_2019,DCLP3,tft,00:00-02:00,0,2,3809,0.6168923880231705,1.746017683480281
brown_2019,DCLP3,chronos2,02:00-04:00,2,4,3809,0.5,2.602694284412058
brown_2019,DCLP3,moirai,02:00-04:00,2,4,3809,0.5,2.7110187772397283
brown_2019,DCLP3,toto,02:00-04:00,2,4,3809,0.5,2.8283097552671577
brown_2019,DCLP3,patchtst,02:00-04:00,2,4,3809,0.5,2.6249889968274815
brown_2019,DCLP3,tft,02:00-04:00,2,4,3809,0.5,2.6463941123835006
brown_2019,DCLP3,chronos2,04:00-06:00,4,6,3809,0.5,2.6854779190303324
brown_2019,DCLP3,moirai,04:00-06:00,4,6,3809,0.5,2.752969146422959
brown_2019,DCLP3,toto,04:00-06:00,4,6,3809,0.5,2.9384501843138993
brown_2019,DCLP3,patchtst,04:00-06:00,4,6,3809,0.5,2.7247046949240104
brown_2019,DCLP3,tft,04:00-06:00,4,6,3809,0.5,2.7504446560874585
brown_2019,DCLP3,chronos2,06:00-08:00,6,8,3809,0.5,2.600524725716845
brown_2019,DCLP3,moirai,06:00-08:00,6,8,3809,0.5,2.665771230321047
brown_2019,DCLP3,toto,06:00-08:00,6,8,3809,0.5,2.9584336950332175
brown_2019,DCLP3,patchtst,06:00-08:00,6,8,3809,0.5,2.6703332805585016
brown_2019,DCLP3,tft,06:00-08:00,6,8,3809,0.5,2.680092260813257
lynch_2022,IOBP2,chronos2,full (00:00-08:00),0,8,2928,0.6701015444734038,2.24831094065991
lynch_2022,IOBP2,moirai,full (00:00-08:00),0,8,2928,0.6558999775080177,2.4346712096570453
lynch_2022,IOBP2,toto,full (00:00-08:00),0,8,2928,0.634863866019645,2.5706321735284234
lynch_2022,IOBP2,patchtst,full (00:00-08:00),0,8,2928,0.5797455747204491,2.451244781091121
lynch_2022,IOBP2,tft,full (00:00-08:00),0,8,2928,0.6449216625096023,2.384860206527764
lynch_2022,IOBP2,chronos2,00:00-02:00,0,2,2928,0.6274467652933411,1.7370862080038825
lynch_2022,IOBP2,moirai,00:00-02:00,0,2,2928,0.6490825688073394,1.9088007906950852
lynch_2022,IOBP2,toto,00:00-02:00,0,2,2928,0.618562747554081,1.9602081786517236
lynch_2022,IOBP2,patchtst,00:00-02:00,0,2,2928,0.6356714851552185,1.9022206976230198
lynch_2022,IOBP2,tft,00:00-02:00,0,2,2928,0.6316166762585057,1.8578196566368046
lynch_2022,IOBP2,chronos2,02:00-04:00,2,4,2928,0.5,2.514005464729571
lynch_2022,IOBP2,moirai,02:00-04:00,2,4,2928,0.499450146627566,2.7571423992919795
lynch_2022,IOBP2,toto,02:00-04:00,2,4,2928,0.5,2.8176707190898758
lynch_2022,IOBP2,patchtst,02:00-04:00,2,4,2928,0.5,2.723660890154564
lynch_2022,IOBP2,tft,02:00-04:00,2,4,2928,0.5,2.674840763947698
lynch_2022,IOBP2,chronos2,04:00-06:00,4,6,2928,0.5,2.3694118033139624
lynch_2022,IOBP2,moirai,04:00-06:00,4,6,2928,0.4998183799491464,2.5383843229851277
lynch_2022,IOBP2,toto,04:00-06:00,4,6,2928,0.5,2.6123901257901885
lynch_2022,IOBP2,patchtst,04:00-06:00,4,6,2928,0.5,2.575221503142473
lynch_2022,IOBP2,tft,04:00-06:00,4,6,2928,0.5,2.5209250877320457
lynch_2022,IOBP2,chronos2,06:00-08:00,6,8,2928,0.5,2.295169727744165
lynch_2022,IOBP2,moirai,06:00-08:00,6,8,2928,0.49963649581970193,2.453924602921454
lynch_2022,IOBP2,toto,06:00-08:00,6,8,2928,0.5,2.797558316125372
lynch_2022,IOBP2,patchtst,06:00-08:00,6,8,2928,0.5,2.52306676289699
lynch_2022,IOBP2,tft,06:00-08:00,6,8,2928,0.5,2.406013826165463
tamborlane_2008,Tamborlane,chronos2,full (00:00-08:00),0,8,10782,0.6797354198089494,3.2697369002867704
tamborlane_2008,Tamborlane,moirai,full (00:00-08:00),0,8,10782,0.6753886077181726,3.341785266252867
tamborlane_2008,Tamborlane,toto,full (00:00-08:00),0,8,10782,0.6882603415606646,3.3397985154988477
tamborlane_2008,Tamborlane,patchtst,full (00:00-08:00),0,8,10782,0.6584628208034362,3.2402737254624943
tamborlane_2008,Tamborlane,tft,full (00:00-08:00),0,8,10782,0.6487185481128868,3.3157090769369946
tamborlane_2008,Tamborlane,chronos2,00:00-02:00,0,2,10782,0.6182676563350195,2.5958750514058733
tamborlane_2008,Tamborlane,moirai,00:00-02:00,0,2,10782,0.6035223557062533,2.692926255317754
tamborlane_2008,Tamborlane,toto,00:00-02:00,0,2,10782,0.612541848461337,2.628436050746861
tamborlane_2008,Tamborlane,patchtst,00:00-02:00,0,2,10782,0.6180230207472642,2.6270756762943392
tamborlane_2008,Tamborlane,tft,00:00-02:00,0,2,10782,0.5933327749339997,2.6314392687773305
tamborlane_2008,Tamborlane,chronos2,02:00-04:00,2,4,10782,0.5035648171580412,3.4125114487027624
tamborlane_2008,Tamborlane,moirai,02:00-04:00,2,4,10782,0.5010421675313173,3.4748204328408714
tamborlane_2008,Tamborlane,toto,02:00-04:00,2,4,10782,0.501437428824497,3.4646560119131413
tamborlane_2008,Tamborlane,patchtst,02:00-04:00,2,4,10782,0.5,3.3683741496200414
tamborlane_2008,Tamborlane,tft,02:00-04:00,2,4,10782,0.5011054346450714,3.4436081107865073
tamborlane_2008,Tamborlane,chronos2,04:00-06:00,4,6,10782,0.5000611130101029,3.485459006871485
tamborlane_2008,Tamborlane,moirai,04:00-06:00,4,6,10782,0.5009653470085856,3.5488948813053995
tamborlane_2008,Tamborlane,toto,04:00-06:00,4,6,10782,0.5010920301666624,3.5997298852392166
tamborlane_2008,Tamborlane,patchtst,04:00-06:00,4,6,10782,0.5,3.438507939249341
tamborlane_2008,Tamborlane,tft,04:00-06:00,4,6,10782,0.5001719764675675,3.5374091315217697
tamborlane_2008,Tamborlane,chronos2,06:00-08:00,6,8,10782,0.500441664316383,3.4974978813099122
tamborlane_2008,Tamborlane,moirai,06:00-08:00,6,8,10782,0.49999805855066054,3.5706065769495225
tamborlane_2008,Tamborlane,toto,06:00-08:00,6,8,10782,0.5000536517984108,3.570216225395495
tamborlane_2008,Tamborlane,patchtst,06:00-08:00,6,8,10782,0.5,3.4535036404503328
tamborlane_2008,Tamborlane,tft,06:00-08:00,6,8,10782,0.49994428348562514,3.5608333184548133
