dataset,dataset_label,model,rmse,rmse_lo,rmse_hi,wql,auroc,auprc,n,source
aleppo_2017,Replace-BG,chronos2,2.7514034782956016,2.691727890325298,2.8128671747487304,0.7840795816705958,0.7468958930276983,0.5776518672925515,4243,rerun/survivor
aleppo_2017,Replace-BG,moirai,2.7781534946881496,2.7220718889841047,2.8362974725180607,0.8048297422374091,0.7364602123236663,0.5577524751764418,4243,rerun/survivor
aleppo_2017,Replace-BG,toto,2.9257575021388638,2.8671230455512693,2.9857207256672806,0.8504433140297405,0.7330291685045658,0.5584082904570697,4243,rerun/survivor
aleppo_2017,Replace-BG,timesfm,2.709180319063102,2.650661049774205,2.769382182497908,0.7704087679860927,0.7538821509216989,0.5835200858947315,4243,rerun/survivor
aleppo_2017,Replace-BG,patchtst,2.6788574107356498,2.622170717546847,2.7365400737955503,0.7701586201114765,0.7461589403181865,0.5758304655970635,4243,rerun/survivor
aleppo_2017,Replace-BG,tft,2.7399880142833246,2.6781434901442256,2.803227255457946,0.773289271604949,0.7484200044707269,0.5754049189403775,4243,rerun/survivor
aleppo_2017,Replace-BG,ttm,2.76942815365647,2.7135125602352343,2.826963651471607,,0.7428543080952432,0.5664401656218402,4243,rerun/survivor
aleppo_2017,Replace-BG,moment,3.3154519571359775,3.2542138863159686,3.378632390580989,,0.6321521170804479,0.39070570107062463,4243,rerun/survivor
aleppo_2017,Replace-BG,tide,2.7360261671986024,2.677781104300723,2.796479085679131,0.7868957158582055,0.730011129001988,0.5534714653675449,4243,rerun/survivor
aleppo_2017,Replace-BG,deepar,2.8621463680680312,2.7981592186665316,2.927444672159814,0.847248657580568,0.7437093047302443,0.574053052937,4243,rerun/survivor
brown_2019,DCLP3,chronos2,2.521675932265331,2.4635194740651554,2.5806718323653315,0.7156815786612276,0.7066204578110739,0.38636586215884106,3809,rerun/survivor
brown_2019,DCLP3,moirai,2.593658578986339,2.5384417053596704,2.6500113886449257,0.7502909730112591,0.691565571347239,0.34766036459379074,3809,rerun/survivor
