dataset,dataset_label,model,cov_condition,rmse_bgonly,rmse_cov,delta,lo,hi,p,n,significant
aleppo_2017,Replace-BG,chronos2,iob_cob,2.7514034782956016,2.6090161564291767,0.1423873218664249,0.12064273117732074,0.16425496202249576,0.0,4243,True
aleppo_2017,Replace-BG,moirai,iob,2.7781534946881496,2.7068508205244677,0.07130267416368197,0.049713183360942395,0.09300312920427765,0.0,4243,True
aleppo_2017,Replace-BG,tft,iob_cob,2.7399880142833246,2.617969063329428,0.1220189509538967,0.10279129213758646,0.14071368723120903,0.0,4243,True
aleppo_2017,Replace-BG,ttm,iob,2.76942815365647,2.796106196733437,-0.026678043076966862,-0.03480162573031291,-0.018265805076334397,0.0,4243,True
brown_2019,DCLP3,chronos2,iob,2.521675932265331,2.4321334886428674,0.08954244362246344,0.06914960436930515,0.10979181069408034,0.0,3809,True
brown_2019,DCLP3,moirai,iob,2.593658578986339,2.520496479025085,0.07316209996125389,0.055148501424902886,0.09129668740375076,0.0,3809,True
brown_2019,DCLP3,tft,iob,2.5069007136359147,2.48997087742784,0.016929836208074533,0.0028155993537396953,0.03148787731642423,0.0204,3809,True
brown_2019,DCLP3,ttm,iob,2.566162729992745,2.5458231085058505,0.02033962148689472,0.012087649766293274,0.02827220997929287,0.0,3809,True
lynch_2022,IOBP2,chronos2,iob,2.4292375964234605,2.24831094065991,0.1809266557635505,0.14554126580112864,0.21623931091783935,0.0,2928,True
lynch_2022,IOBP2,moirai,iob,2.53524835770338,2.4346712096570453,0.10057714804633466,0.062210533784837985,0.13871042342381068,0.0,2928,True
lynch_2022,IOBP2,tft,iob,2.4353060246441274,2.384860206527764,0.050445818116363395,0.029732026634957064,0.07288487736589096,0.0,2928,True
lynch_2022,IOBP2,ttm,iob,2.5195334632001485,2.5185909981485666,0.0009424650515819089,-0.008518625727679918,0.010375569912500904,0.835,2928,False
