dataset,model,n,n_missing_sex,n_missing_age
aleppo_2017,chronos2,4243,0,0
aleppo_2017,moirai,4243,0,0
aleppo_2017,toto,4243,0,0
aleppo_2017,patchtst,4243,0,0
aleppo_2017,tft,4243,0,0
brown_2019,chronos2,3809,0,0
brown_2019,moirai,3809,0,0
brown_2019,toto,3809,0,0
brown_2019,patchtst,3809,0,0
brown_2019,tft,3809,0,0
lynch_2022,chronos2,2928,0,0
lynch_2022,moirai,2928,0,0
lynch_2022,toto,2928,0,0
lynch_2022,patchtst,2928,0,0
lynch_2022,tft,2928,0,0
tamborlane_2008,chronos2,10782,0,0
tamborlane_2008,moirai,10782,0,0
tamborlane_2008,toto,10782,0,0
tamborlane_2008,patchtst,10782,0,0
tamborlane_2008,tft,10782,0,0
