dataset,dataset_label,model,axis,group,n,n_hypo,base_rate,rmse,auroc,auprc
aleppo_2017,Replace-BG,chronos2,sex,F,2263,618,0.27308882015024305,2.5852529247447915,0.7225597820206372,0.5667529054192787
aleppo_2017,Replace-BG,chronos2,sex,M,1980,429,0.21666666666666667,2.6359135154933067,0.6932492609475202,0.4917549273323356
aleppo_2017,Replace-BG,chronos2,age,older(>=43),2572,615,0.2391135303265941,2.4899538340496368,0.7124144721263258,0.5154995306428467
aleppo_2017,Replace-BG,chronos2,age,younger(<43),1671,432,0.2585278276481149,2.7823380612910364,0.7124977580486055,0.5670312233866834
aleppo_2017,Replace-BG,moirai,sex,F,2263,618,0.27308882015024305,2.7087499509712085,0.7362164448510244,0.5841394823485495
aleppo_2017,Replace-BG,moirai,sex,M,1980,429,0.21666666666666667,2.7046786156876723,0.7088771963046625,0.5088597442061127
aleppo_2017,Replace-BG,moirai,age,older(>=43),2572,615,0.2391135303265941,2.5921211816396665,0.7219491423325066,0.5386009564491274
aleppo_2017,Replace-BG,moirai,age,younger(<43),1671,432,0.2585278276481149,2.874507874958325,0.7330816742893014,0.5759810780433284
aleppo_2017,Replace-BG,toto,sex,F,2263,618,0.27308882015024305,2.8395842503263657,0.7307399100933494,0.5909870053624295
aleppo_2017,Replace-BG,toto,sex,M,1980,429,0.21666666666666667,2.892162407409461,0.7170109065660323,0.5176189562481629
aleppo_2017,Replace-BG,toto,age,older(>=43),2572,615,0.2391135303265941,2.751824886999358,0.7120987408136727,0.5295489952811151
aleppo_2017,Replace-BG,toto,age,younger(<43),1671,432,0.2585278276481149,3.0291275492138863,0.7487482438047409,0.6061496963239709
aleppo_2017,Replace-BG,patchtst,sex,F,2263,618,0.27308882015024305,2.712976378188564,0.7436081683241362,0.6042237830234094
aleppo_2017,Replace-BG,patchtst,sex,M,1980,429,0.21666666666666667,2.639321770723783,0.7239197509990548,0.5210933386495414
aleppo_2017,Replace-BG,patchtst,age,older(>=43),2572,615,0.2391135303265941,2.578910245279508,0.7353440432718072,0.5525625838447493
aleppo_2017,Replace-BG,patchtst,age,younger(<43),1671,432,0.2585278276481149,2.825796178292954,0.7408005261112605,0.5970824302142221
aleppo_2017,Replace-BG,tft,sex,F,2263,618,0.27308882015024305,2.62648662953602,0.7100058036021681,0.5633803124086514
aleppo_2017,Replace-BG,tft,sex,M,1980,429,0.21666666666666667,2.6082000242803525,0.6975197594153106,0.49320875612736076
aleppo_2017,Replace-BG,tft,age,older(>=43),2572,615,0.2391135303265941,2.504445625383634,0.6948004038037314,0.5087654636755494
aleppo_2017,Replace-BG,tft,age,younger(<43),1671,432,0.2585278276481149,2.783671576488393,0.7213179684931097,0.5704024165506305
brown_2019,DCLP3,chronos2,sex,F,1626,200,0.12300123001230012,2.1457652608261957,0.6791462131837308,0.3910712421558913
brown_2019,DCLP3,chronos2,sex,M,2183,263,0.12047640861200183,2.6252125376974984,0.6305182588719898,0.31261754498208694
brown_2019,DCLP3,chronos2,age,older(>=28),2358,292,0.12383375742154368,2.2974623246499157,0.6418630402206633,0.3372299868557055
brown_2019,DCLP3,chronos2,age,younger(<28),1451,171,0.11784975878704342,2.6363527759263117,0.6683342470760233,0.36038853077567806
brown_2019,DCLP3,moirai,sex,F,1626,200,0.12300123001230012,2.2443212544811226,0.7644705469845722,0.4229532408478036
brown_2019,DCLP3,moirai,sex,M,2183,263,0.12047640861200183,2.7079631447757557,0.6844027249683142,0.34601187138215916
brown_2019,DCLP3,moirai,age,older(>=28),2358,292,0.12383375742154368,2.380224280677285,0.7258864989590103,0.3873253581645981
brown_2019,DCLP3,moirai,age,younger(<28),1451,171,0.11784975878704342,2.7331380119832556,0.711296144005848,0.35995689267651987
brown_2019,DCLP3,toto,sex,F,1626,200,0.12300123001230012,2.429011569454917,0.7314621318373071,0.40381901547580784
brown_2019,DCLP3,toto,sex,M,2183,263,0.12047640861200183,2.852278213884978,0.6933489781368822,0.35027458251794996
brown_2019,DCLP3,toto,age,older(>=28),2358,292,0.12383375742154368,2.5064333057581605,0.6922631913962525,0.3553966753027198
