dataset,dataset_label,model,n,n_hypo,aggregation,auroc,auprc
aleppo_2017,Replace-BG,chronos2,4243,1047,max_point,0.7558584154261596,0.5885607442284909
aleppo_2017,Replace-BG,chronos2,4243,1047,mean_point,0.7190366300760382,0.49958282656565534
aleppo_2017,Replace-BG,chronos2,4243,1047,max,0.712414515278769,0.5361110040423949
aleppo_2017,Replace-BG,chronos2,4243,1047,mean,0.710863956019523,0.5194722403896153
aleppo_2017,Replace-BG,chronos2,4243,1047,noisy_or,0.7113244767516224,0.5250362044129487
aleppo_2017,Replace-BG,moirai,4243,1047,max_point,0.7515160426177422,0.5788544827171105
aleppo_2017,Replace-BG,moirai,4243,1047,mean_point,0.7159095120094006,0.5023970776581768
aleppo_2017,Replace-BG,moirai,4243,1047,max,0.7270978348054458,0.5542247573425504
aleppo_2017,Replace-BG,moirai,4243,1047,mean,0.7323117901675088,0.5566366979286324
aleppo_2017,Replace-BG,moirai,4243,1047,noisy_or,0.732459419785716,0.5595780899937265
aleppo_2017,Replace-BG,toto,4243,1047,max_point,0.7334412762849454,0.5749811228136148
aleppo_2017,Replace-BG,toto,4243,1047,mean_point,0.7198351449340329,0.5370342755288912
aleppo_2017,Replace-BG,toto,4243,1047,max,0.7271991433895999,0.5607326768276292
aleppo_2017,Replace-BG,toto,4243,1047,mean,0.7284489147728835,0.5586488402518207
aleppo_2017,Replace-BG,toto,4243,1047,noisy_or,0.7283601576947307,0.5515191922202412
aleppo_2017,Replace-BG,patchtst,4243,1047,max_point,0.7461589403181865,0.5758304655970635
aleppo_2017,Replace-BG,patchtst,4243,1047,mean_point,0.7116536549387784,0.48401388904400544
aleppo_2017,Replace-BG,patchtst,4243,1047,max,0.7374000810468674,0.5707610462742646
aleppo_2017,Replace-BG,patchtst,4243,1047,mean,0.7383539955029748,0.5698649620154081
aleppo_2017,Replace-BG,patchtst,4243,1047,noisy_or,0.7384445456534134,0.5714674467536437
aleppo_2017,Replace-BG,tft,4243,1047,max_point,0.7527997329517675,0.5814608819788638
aleppo_2017,Replace-BG,tft,4243,1047,mean_point,0.7236576762022251,0.5084499857557764
aleppo_2017,Replace-BG,tft,4243,1047,max,0.7057529528912094,0.5335956262951849
aleppo_2017,Replace-BG,tft,4243,1047,mean,0.7039815468954149,0.5170144532189538
aleppo_2017,Replace-BG,tft,4243,1047,noisy_or,0.7042814382352344,0.520743051275215
aleppo_2017,Replace-BG,timesfm,4243,1047,max_point,0.7538821509216989,0.5835200858947315
aleppo_2017,Replace-BG,timesfm,4243,1047,mean_point,0.7058151127304546,0.48003462831944427
aleppo_2017,Replace-BG,timesfm,4243,1047,max,0.700298576420143,0.5270115047135013
aleppo_2017,Replace-BG,timesfm,4243,1047,mean,0.6984034484366202,0.5086442090601055
aleppo_2017,Replace-BG,timesfm,4243,1047,noisy_or,0.6989114855842965,0.5158358224824732
aleppo_2017,Replace-BG,ttm,4243,1047,max_point,0.7428543080952432,0.5664401656218402
aleppo_2017,Replace-BG,ttm,4243,1047,mean_point,0.6857261285298121,0.4473962316037163
aleppo_2017,Replace-BG,deepar,4243,1047,max_point,0.7437093047302443,0.574053052937
aleppo_2017,Replace-BG,deepar,4243,1047,mean_point,0.7179153622065787,0.4989244688815233
aleppo_2017,Replace-BG,deepar,4243,1047,max,0.7193492223445497,0.5472926231043682
aleppo_2017,Replace-BG,deepar,4243,1047,mean,0.7192434310796806,0.5293492518164804
aleppo_2017,Replace-BG,deepar,4243,1047,noisy_or,0.7201026115500154,0.536789378100409
brown_2019,DCLP3,chronos2,3809,463,max_point,0.7033529606932103,0.38535853315781704
brown_2019,DCLP3,chronos2,3809,463,mean_point,0.6540067828644242,0.23860220202718196
brown_2019,DCLP3,chronos2,3809,463,max,0.6515571282689496,0.3452024782616606
brown_2019,DCLP3,chronos2,3809,463,mean,0.6513060306042224,0.3290300989492395
brown_2019,DCLP3,chronos2,3809,463,noisy_or,0.6514757958634081,0.33697438422707354
brown_2019,DCLP3,moirai,3809,463,max_point,0.6976651790152065,0.36867650591280504
brown_2019,DCLP3,moirai,3809,463,mean_point,0.6506934555815331,0.24774446326150212
brown_2019,DCLP3,moirai,3809,463,max,0.7197027106928875,0.3768907911382747
brown_2019,DCLP3,moirai,3809,463,mean,0.7217005185909097,0.36738736693294194
brown_2019,DCLP3,moirai,3809,463,noisy_or,0.7217618406427068,0.37091885287805193
brown_2019,DCLP3,toto,3809,463,max_point,0.7039145415886155,0.37930753275703666
brown_2019,DCLP3,toto,3809,463,mean_point,0.6418450062548493,0.233133525985522
brown_2019,DCLP3,toto,3809,463,max,0.7097185124173927,0.3712440745325443
brown_2019,DCLP3,toto,3809,463,mean,0.719267324125128,0.37673011805029394
brown_2019,DCLP3,toto,3809,463,noisy_or,0.7192408588185629,0.3783670550437126
brown_2019,DCLP3,patchtst,3809,463,max_point,0.6937008697403431,0.3622151266878155
brown_2019,DCLP3,patchtst,3809,463,mean_point,0.654918222202714,0.22774577816186428
brown_2019,DCLP3,patchtst,3809,463,max,0.7059801264912555,0.3763760226780367
brown_2019,DCLP3,patchtst,3809,463,mean,0.7049705718700903,0.37571491228914344
brown_2019,DCLP3,patchtst,3809,463,noisy_or,0.7050215659973742,0.37758851843590985
brown_2019,DCLP3,tft,3809,463,max_point,0.6969728853251811,0.3803774357787679
brown_2019,DCLP3,tft,3809,463,mean_point,0.6643676276370095,0.26096371302723503
brown_2019,DCLP3,tft,3809,463,max,0.6454129814265188,0.3393825481914448
brown_2019,DCLP3,tft,3809,463,mean,0.6448333266632155,0.32313072531536224
brown_2019,DCLP3,tft,3809,463,noisy_or,0.6449940549884521,0.3302748106567417
brown_2019,DCLP3,timesfm,3809,463,max_point,0.7012060433850289,0.3728451515090496
brown_2019,DCLP3,timesfm,3809,463,mean_point,0.6527348344110953,0.22889342457836936
brown_2019,DCLP3,timesfm,3809,463,max,0.6537753728058001,0.33517592986408046
brown_2019,DCLP3,timesfm,3809,463,mean,0.6515309857100254,0.30040088273012916
brown_2019,DCLP3,timesfm,3809,463,noisy_or,0.6518956905443978,0.31330685185450624
brown_2019,DCLP3,ttm,3809,463,max_point,0.6848550023947875,0.3524728196684013
brown_2019,DCLP3,ttm,3809,463,mean_point,0.638071440835839,0.2347201212126152
brown_2019,DCLP3,deepar,3809,463,max_point,0.6851416023000289,0.3653644550790011
brown_2019,DCLP3,deepar,3809,463,mean_point,0.6621387324280047,0.2556830020145203
brown_2019,DCLP3,deepar,3809,463,max,0.6822633388372563,0.3550897736620946
brown_2019,DCLP3,deepar,3809,463,mean,0.6839525999904466,0.3165397500601561
brown_2019,DCLP3,deepar,3809,463,noisy_or,0.6848259551070942,0.3330793414817237
lynch_2022,IOBP2,chronos2,2928,597,max_point,0.6701015444734038,0.44016488439114265
lynch_2022,IOBP2,chronos2,2928,597,mean_point,0.5831660806535178,0.2775386519284833
lynch_2022,IOBP2,chronos2,2928,597,max,0.6500376902386953,0.41847827041811625
lynch_2022,IOBP2,chronos2,2928,597,mean,0.6492314281259005,0.39911158252644974
lynch_2022,IOBP2,chronos2,2928,597,noisy_or,0.6494405388877751,0.40773931920638296
lynch_2022,IOBP2,moirai,2928,597,max_point,0.6558999775080177,0.4213390492838258
lynch_2022,IOBP2,moirai,2928,597,mean_point,0.5566736873269537,0.2660581660803343
lynch_2022,IOBP2,moirai,2928,597,max,0.7048466269571797,0.45530590853175457
lynch_2022,IOBP2,moirai,2928,597,mean,0.7065047818816663,0.4419183603969685
lynch_2022,IOBP2,moirai,2928,597,noisy_or,0.7067085031909152,0.45005492750077564
lynch_2022,IOBP2,toto,2928,597,max_point,0.634863866019645,0.39897561558112593
lynch_2022,IOBP2,toto,2928,597,mean_point,0.5394540268912129,0.25335402362565534
lynch_2022,IOBP2,toto,2928,597,max,0.699387111447413,0.4487209846883212
lynch_2022,IOBP2,toto,2928,597,mean,0.7062259675325002,0.44998634472944576
lynch_2022,IOBP2,toto,2928,597,noisy_or,0.7063218997892364,0.45239934073019383
lynch_2022,IOBP2,patchtst,2928,597,max_point,0.5797455747204491,0.3674607798540437
lynch_2022,IOBP2,patchtst,2928,597,mean_point,0.530202851810892,0.23394616198702217
lynch_2022,IOBP2,patchtst,2928,597,max,0.6725868007275043,0.41932812185307045
lynch_2022,IOBP2,patchtst,2928,597,mean,0.671949048833471,0.4196307479586753
lynch_2022,IOBP2,patchtst,2928,597,noisy_or,0.6719591091450388,0.42009798009914556
lynch_2022,IOBP2,tft,2928,597,max_point,0.6449216625096023,0.40773262166077173
lynch_2022,IOBP2,tft,2928,597,mean_point,0.5697290973672883,0.275040222213938
lynch_2022,IOBP2,tft,2928,597,max,0.6150270873888964,0.37213055336844253
lynch_2022,IOBP2,tft,2928,597,mean,0.614807916315454,0.3649349418954571
lynch_2022,IOBP2,tft,2928,597,noisy_or,0.6149063636500823,0.36887325716371033
lynch_2022,IOBP2,timesfm,2928,597,max_point,0.6190842673254735,0.3993592619118836
lynch_2022,IOBP2,timesfm,2928,597,mean_point,0.5469805771313309,0.24977967209096863
lynch_2022,IOBP2,timesfm,2928,597,max,0.6289412168809153,0.39183886641229226
lynch_2022,IOBP2,timesfm,2928,597,mean,0.6280027335303717,0.3737972521904934
lynch_2022,IOBP2,timesfm,2928,597,noisy_or,0.6281716030459749,0.3796445235689291
lynch_2022,IOBP2,ttm,2928,597,max_point,0.5741053328993028,0.3629198163929864
lynch_2022,IOBP2,ttm,2928,597,mean_point,0.5156118070690935,0.23021689578844515
lynch_2022,IOBP2,deepar,2928,597,max_point,0.5940355287088956,0.37274662918491014
lynch_2022,IOBP2,deepar,2928,597,mean_point,0.5010006417041593,0.2212510907083361
lynch_2022,IOBP2,deepar,2928,597,max,0.607611919169708,0.3748097867244472
lynch_2022,IOBP2,deepar,2928,597,mean,0.5981042061444072,0.3147737272764141
lynch_2022,IOBP2,deepar,2928,597,noisy_or,0.599963208003409,0.33148056989018604
tamborlane_2008,Tamborlane,chronos2,10782,4152,max_point,0.6797354198089494,0.6103448576116877
tamborlane_2008,Tamborlane,chronos2,10782,4152,mean_point,0.6517287276552832,0.5393084934293513
tamborlane_2008,Tamborlane,chronos2,10782,4152,max,0.6506500528920625,0.5689359425430904
tamborlane_2008,Tamborlane,chronos2,10782,4152,mean,0.6478985031836954,0.5510388375193245
tamborlane_2008,Tamborlane,chronos2,10782,4152,noisy_or,0.6482599020043767,0.55515567578916
tamborlane_2008,Tamborlane,moirai,10782,4152,max_point,0.6753886077181726,0.5979191790376249
