dataset,dataset_label,model_a,model_b,wilcoxon_stat,p_raw,p_holm,rank_biserial,mean_rmse_diff,significant_holm
aleppo_2017,Replace-BG,chronos2,moirai,4740.0,2.6156319673014878e-15,7.846895901904464e-14,-0.6135502017854959,-0.10329925377494176,True
aleppo_2017,Replace-BG,chronos2,toto,2489.0,9.286487968356281e-25,3.436000548291824e-23,-0.7970730911907382,-0.2653713738550372,True
aleppo_2017,Replace-BG,chronos2,timesfm,7476.0,4.830272396316931e-07,7.245408594475397e-06,-0.39048550813256694,-0.05599550781655793,True
aleppo_2017,Replace-BG,chronos2,patchtst,6692.0,4.719188708648276e-09,8.02262080470207e-08,-0.4544046308752191,-0.08063279230253606,True
aleppo_2017,Replace-BG,chronos2,tft,11557.0,0.4565675242153048,1.0,-0.057763645998940114,-0.007714195822133174,False
aleppo_2017,Replace-BG,chronos2,ttm,3720.0,2.7116010097414385e-19,8.677123231172603e-18,-0.6967102849455791,-0.14936487110130647,True
aleppo_2017,Replace-BG,chronos2,tide,5565.0,1.9077616337422987e-12,5.150956411104206e-11,-0.5462883698177816,-0.1032352758438555,True
aleppo_2017,Replace-BG,chronos2,deepar,3047.0,3.42282968034435e-22,1.1295337945136354e-20,-0.7515796339325751,-0.2444358860649829,True
aleppo_2017,Replace-BG,chronos2,moment,275.0,2.1130907315451443e-36,9.297599218798636e-35,-0.9775793893440953,-0.6536857700450107,True
aleppo_2017,Replace-BG,moirai,toto,5943.0,3.055887281888623e-11,7.028540748343833e-10,-0.5154702213525743,-0.16207212008009542,True
aleppo_2017,Replace-BG,moirai,timesfm,9382.0,0.0024450594461651732,0.02200553501548656,0.23509029391382333,0.047303745958383825,True
aleppo_2017,Replace-BG,moirai,patchtst,10059.0,0.020414059741581374,0.10207029870790688,0.17989482695365047,0.022666461472405697,False
aleppo_2017,Replace-BG,moirai,tft,6154.0,1.3438244556591434e-10,2.9564138024501153e-09,0.4982674982674983,0.09558505795280858,True
aleppo_2017,Replace-BG,moirai,ttm,9608.0,0.005229080020524906,0.03137448012314944,-0.21666462842933432,-0.046065617326364716,True
aleppo_2017,Replace-BG,moirai,tide,11781.0,0.6106642050696293,1.0,0.0395010395010395,6.397793108625649e-05,False
aleppo_2017,Replace-BG,moirai,deepar,6337.0,4.669517584725092e-10,9.805986927922692e-09,-0.48334760099465984,-0.14113663229004114,True
aleppo_2017,Replace-BG,moirai,moment,350.0,5.7217227510771336e-36,2.3459063279416247e-34,-0.9714646773470302,-0.550386516270069,True
aleppo_2017,Replace-BG,toto,timesfm,5388.0,4.935577015217585e-13,1.4313173344130997e-11,0.5607190901308549,0.20937586603847924,True
aleppo_2017,Replace-BG,toto,patchtst,5580.0,2.1360301589921167e-12,5.3400753974802915e-11,0.5450654274183686,0.1847385815525011,True
aleppo_2017,Replace-BG,toto,tft,2905.0,7.85745427762441e-23,2.750108997168543e-21,0.7631568219803514,0.257657178032904,True
aleppo_2017,Replace-BG,toto,ttm,8595.0,0.00011475913668700696,0.0013771096402440835,0.2992540051363581,0.1160065027537307,True
aleppo_2017,Replace-BG,toto,tide,6634.0,3.2641317687477174e-09,6.201850360620664e-08,0.45913334148628265,0.16213609801118167,True
aleppo_2017,Replace-BG,toto,deepar,11508.0,0.42603128636229426,1.0,0.06175859117035588,0.020935487790054275,False
aleppo_2017,Replace-BG,toto,moment,2334.0,1.6930518366201135e-25,6.433596979156431e-24,-0.8097101626513391,-0.38831439618997354,True
aleppo_2017,Replace-BG,timesfm,patchtst,11171.0,0.2500903669172302,1.0,-0.089234030410501,-0.024637284485978128,False
aleppo_2017,Replace-BG,timesfm,tft,8978.0,0.0005511239977613417,0.006062363975374759,0.2680282092046798,0.04828131199442476,True
aleppo_2017,Replace-BG,timesfm,ttm,6827.0,1.097547016020807e-08,1.7560752256332911e-07,-0.4433981492805022,-0.09336936328474854,True
aleppo_2017,Replace-BG,timesfm,tide,9422.0,0.00280785703746974,0.02246285629975792,-0.23182911418205535,-0.04723976802729757,True
aleppo_2017,Replace-BG,timesfm,deepar,4686.0,1.6556938245411652e-15,5.132650856077612e-14,-0.6179527944233827,-0.18844037824842497,True
aleppo_2017,Replace-BG,timesfm,moment,367.0,7.164931668142111e-36,2.8659726672568444e-34,-0.9700786759610289,-0.5976902622284528,True
aleppo_2017,Replace-BG,patchtst,tft,7609.0,9.922214512973052e-07,1.3891100318162272e-05,0.37964208552443846,0.07291859648040289,True
aleppo_2017,Replace-BG,patchtst,ttm,5656.0,3.772835489466604e-12,9.054805174719851e-11,-0.5388691859280095,-0.06873207879877041,True
aleppo_2017,Replace-BG,patchtst,tide,9458.0,0.003175721953198696,0.02246285629975792,-0.2288940524234642,-0.02260248354131944,True
aleppo_2017,Replace-BG,patchtst,deepar,5571.0,1.996044100237468e-12,5.1897146606174164e-11,-0.5457991928580164,-0.16380309376244684,True
