dataset,dataset_label,model_a,model_b,metric,higher_is_better,delta,lo,hi,p,n,significant
aleppo_2017,Replace-BG,chronos2,moirai,rmse,False,-0.09783466409529096,-0.12207810166312213,-0.07414353323206561,0.0,221,True
aleppo_2017,Replace-BG,chronos2,moirai,wql,False,-0.04024738913486081,-0.046686321844514454,-0.03384360272719661,0.0,221,True
aleppo_2017,Replace-BG,chronos2,moirai,dilate_shape,False,54.25444473706506,43.938051839172886,67.43659529170678,0.0,221,True
aleppo_2017,Replace-BG,chronos2,moirai,auroc,True,-0.014683319526676786,-0.031665035372515256,0.0021376704566391054,0.092,221,False
aleppo_2017,Replace-BG,chronos2,moirai,auprc,True,-0.018113753300155522,-0.0350492898716845,-0.0006971580917280733,0.042,221,True
aleppo_2017,Replace-BG,chronos2,toto,rmse,False,-0.255223852451826,-0.30105975804429985,-0.20498171447095248,0.0,221,True
aleppo_2017,Replace-BG,chronos2,toto,wql,False,-0.0819718224754502,-0.09429048053356934,-0.06916175463478945,0.0,221,True
aleppo_2017,Replace-BG,chronos2,toto,dilate_shape,False,2.594434658447824,-16.657906182001923,25.380561692284356,0.783,221,False
aleppo_2017,Replace-BG,chronos2,toto,auroc,True,-0.014784628110830922,-0.03682647555076795,0.005501370861835512,0.154,221,False
aleppo_2017,Replace-BG,chronos2,toto,auprc,True,-0.024621672785234305,-0.045671103338735246,-0.003674574302608869,0.021,221,True
aleppo_2017,Replace-BG,chronos2,patchtst,rmse,False,-0.06984125430647303,-0.11685088072056964,-0.0327807822066761,0.0,221,True
aleppo_2017,Replace-BG,chronos2,patchtst,wql,False,-0.03241606093897775,-0.04502989246012836,-0.022308529125070146,0.0,221,True
aleppo_2017,Replace-BG,chronos2,patchtst,dilate_shape,False,-39.996140734237486,-51.49207629113555,-29.23572499905357,0.0,221,True
aleppo_2017,Replace-BG,chronos2,patchtst,auroc,True,-0.024985565768098406,-0.040920040279223434,-0.0098791205836424,0.001,221,True
aleppo_2017,Replace-BG,chronos2,patchtst,auprc,True,-0.03465004223186974,-0.051237586451547426,-0.01843250413862076,0.0,221,True
brown_2019,DCLP3,chronos2,moirai,rmse,False,-0.08836299038221762,-0.10828247472566303,-0.06638492559475258,0.0,167,True
brown_2019,DCLP3,chronos2,moirai,wql,False,-0.04456252868858257,-0.0510085328345881,-0.03774414552783923,0.0,167,True
brown_2019,DCLP3,chronos2,moirai,dilate_shape,False,58.86969561608527,45.76327851391023,74.1571642471403,0.0,167,True
brown_2019,DCLP3,chronos2,moirai,auroc,True,-0.06814558242393787,-0.09575885828320875,-0.04110095067612672,0.0,167,True
brown_2019,DCLP3,chronos2,moirai,auprc,True,-0.031688312876614055,-0.05870705328808085,-0.0041174983978143585,0.026,167,True
