dataset,dataset_label,metric,winner,spearman_vs_rmse,p
aleppo_2017,Replace-BG,rmse,chronos2,1.0,0.0
aleppo_2017,Replace-BG,wql,chronos2,0.9523809523809524,0.000260400024387251
aleppo_2017,Replace-BG,dilate_shape,moirai,-0.04761904761904763,0.9108491685195836
aleppo_2017,Replace-BG,auroc,patchtst,-0.09523809523809526,0.8225054302036114
aleppo_2017,Replace-BG,auprc,patchtst,-0.07142857142857144,0.8665262706759088
brown_2019,DCLP3,rmse,chronos2,1.0,0.0
brown_2019,DCLP3,wql,chronos2,0.9285714285714287,0.0008629681828999767
brown_2019,DCLP3,dilate_shape,moirai,-0.4523809523809524,0.2604047674368853
brown_2019,DCLP3,auroc,moirai,-0.523809523809524,0.1827207505397148
brown_2019,DCLP3,auprc,moirai,-0.261904761904762,0.530922861565801
lynch_2022,IOBP2,rmse,chronos2,1.0,0.0
lynch_2022,IOBP2,wql,chronos2,0.9761904761904763,3.314396026200098e-05
lynch_2022,IOBP2,dilate_shape,moirai,0.30952380952380953,0.4556448907375822
lynch_2022,IOBP2,auroc,moirai,0.14285714285714288,0.735764859879812
lynch_2022,IOBP2,auprc,moirai,0.0,1.0
